user,text,country,id
cherrrysun,b'@DEADLINE Whaaat',Poland,1306715359446265861
prexxxx,b'@Amadi__ @TaktycznyWafel @Vramiin A to propsy!',Poland,1306715332573302784
KasumiFromP5R,"b""@0_Arminius_0 Idk, sounds bs to me\nMaybe it's was one of the few Europeans in Jamaica? ?????""",Poland,1306715327925977088
AlisHassAD,"b'RT @_jeanwoof: ""No time to explain, just get in the car!""\n\nCheetah ready for a ride: Panzica! https://t.co/mvDb3u1ZpF'",Poland,1306715127719301120
sasaimo0310,b'RT @wintermut_e: Control Tower\n#HorizonZeroDawn #HorizonZeroDawnPC   #VirtualPhotography #VGPUnite #GamerGram #TheCapturedCollective (camer?',Poland,1306714982004879361
maingan307,b'All you have to do is write one true sentence. Write the truest sentence that you know. Ernest Hemingway',Poland,1306714234630205441
TetonSig,b'RT @johnsundell: Have been making the game scale really well across all screen sizes today - from the iPhone SE to the Mac. A really nice s?',Poland,1306713745591275520
TadekM11,b'@PolandHockey So sad so true.',Poland,1306713487285125121
I6Igor,"b'@YepItsEthannnn @TimeByEcco2k Why was that poll so close, red light is so much worse than icedancer'",Poland,1306713435338665987
mpiwo,b'@rsienicki Playing the Spider-Man game (with a hyphen) for the first time and I am so impressed with the swinging',Poland,1306713145046597635
_ariel_2607_,b'@AliceRomainxxx Sleep well ???',Poland,1306713080970309633
HeIacious,b'I come home. My cat was petrified. The house is a fucking wreck and looks like hoarders live there. This little trip is gonna be a fun one ?',Poland,1306712133019852802
SE5761,b'we all do the same things which are only perceived differently depending on the persons status',Poland,1306711901313929217
BarfComics,b'RT @elkowalczuk: Four comics that should happen. https://t.co/RUH7tXtSro',Poland,1306711853926551552
SE5761,b'we all do the same things just in different quantities',Poland,1306711277641887744
SE5761,b'you dont let yourself feel? everyone can still see that because they do it too.',Poland,1306710815278608391
theon0563,"b'And responsible for 30 to 40 million jobs lost.\n\nWorst US presodent ever. G.W. was bad, but Trump tops everything i? https://t.co/rzlHeXJfCH'",Poland,1306710766599507974
kiniaborolewska,b'@JoshRichards i think u look so much better with short hair',Poland,1306710455272996865
Siphran,"b""RT @FuckieStorm: hi, hello, i'm playing my own therapist and am seeking knowledge and honesty. i made anonymous survey out of curiosity. if?""",Poland,1306710208354242560
theon0563,"b'Oh your god.\n\nFirst of all, here in Europe you would find everything and everone radical left, where in fact it isn? https://t.co/4I8nF7Y6UF'",Poland,1306710103937232900
ssweetandpsycho,"b""Dozed off around 2am. It's 5.30am now. I slept but not really. Hunger kept rousing me. Now I feel like throwing up.? https://t.co/QFgifyV36E""",Poland,1306709384186134528
x422_,b'@Kid0ntheStreet @Silent_Kindling @Breaking911 So loving your country is white supremacy now? Looks like I have to w? https://t.co/Hnl8hsjHAU',Poland,1306709190480592898
chelfrem,b'RT @wintermut_e: Control Tower\n#HorizonZeroDawn #HorizonZeroDawnPC   #VirtualPhotography #VGPUnite #GamerGram #TheCapturedCollective (camer?',Poland,1306709013065871361
vydija,"b""@Vydijafan01 That's better. ;)""",Poland,1306707856889188352
KasumiFromP5R,"b""@KagutBlood @EndAidtolsrael It still wouldn't\n(Jews hate Christians why would they keep them?)""",Poland,1306707435885912064
