user,text,country,id
alchemytoday,"b""@CT_Bergstrom But the better plan didn't happen either""",Portugal,1306715743015370753
cabritonoteupai,b'@RicFazeres @TeamYouTube A live morreu ?',Portugal,1306715739018190849
TJayNotYe,b'RT @FaZeRamos: Am I stranger to you? ?',Portugal,1306715737306914816
gui10___,"b""RT @micasilvaa1: I miss you but I don't want you back dear""",Portugal,1306715730377932800
eric_vlmeida,b'Playstations were never even that expensive why are people surprised',Portugal,1306715729736196096
alchemytoday,b'@CT_Bergstrom In fairness this is a dumb idea compared to subsidizing masks in stores and delivering to high risk..? https://t.co/zlk2VmDP8v',Portugal,1306715658256896001
mfbenson1,b'RT @andrerib: @EmilySaladino I?m almost sure the other option was ?Jalapinot?.',Portugal,1306715606884917248
_Cristian_447,b'Amazing vibes only',Portugal,1306715550677176320
_brunagm_,b'@X44n44 I love you my baby boo ?',Portugal,1306715549456633859
_judite_martins,"b""Haven't posted my new hair in here ? https://t.co/A82gbdJkOO""",Portugal,1306715547019681792
SaintMasango,b'@_uMngomezulu Heh monna did they end up fixing the car?',Portugal,1306715533975392256
100txeutruke,b'@stef_cb2 lifestyle do finesse',Portugal,1306715501897428993
AngeFootball,b'Uh oh https://t.co/Abo2oB9txP',Portugal,1306715499754074113
GuilhermeCape13,b'@_chloegabriel Notasse',Portugal,1306715483421499396
Taberna_do_Rum,"b'RT @damnbiaa: don?t have sex, you?ll get pregnant and die'",Portugal,1306715469433507842
demdikestan,b'today made me revisit this match ? i miss this rivalry so much https://t.co/QKfgd6vHST',Portugal,1306715446398324739
marianapcostta,b'@arierxs chicken little lol claro',Portugal,1306715435468025856
maargsz,b'RT @ndablck1: ~wisdom is better than silver and gold~ Bob Marley ??? https://t.co/oJDXMl5oe4',Portugal,1306715432041283586
amyplierlover_,b'RT @fritz_araujo: Everyone: waiting for iOS 14 \n\nApple: https://t.co/bt60Ds2x8J',Portugal,1306715374231093248
MansonSAY10,"b'RT @mind_booster: @marilynmanson @zanelowe @AppleMusic Quite curious how Manson\'s reply to ""There is no King Bee"" is ""now, there is"". Becau?'",Portugal,1306715367801122816
MafaldAssis,b'Let me pray for u darling',Portugal,1306715366475870209
VascoGnr,b'RT @WheelOfFurtune: So you agree religion comes from fear and irrationality?',Portugal,1306715350877298690
JonasSerra6,"b'RT @L1nkkh: @RicFazeres @TeamYouTube @TeamYouTube YO youtube ! The youtube channel of ma boi @RicFazeres got hacked, please help him out or?'",Portugal,1306715350541774849
BLACCLOUDS,b'RT @WheelOfFurtune: So you agree religion comes from fear and irrationality?',Portugal,1306715335970762752
SaintMasango,b'Whiskey ???????\n\nI?m done with gin',Portugal,1306715325602443271
imyourfckdaddy,b'I DONT KNOW ABOUT YOU NUT IM FELLING 22 https://t.co/0iy5ABtW0e',Portugal,1306715324172165120
ednasalles22,b'Inspirem-se?? https://t.co/tsT7ljDU1N',Portugal,1306715300855980032
ydianaduarte,"b'@RobertoGamito Write DD on yt, encontras logo o canal'",Portugal,1306715300646260743
Morenozzz_,b'I know ? https://t.co/faRSE4Er2g',Portugal,1306715258820624384
bsmbm__,b'RT @WheelOfFurtune: So you agree religion comes from fear and irrationality?',Portugal,1306715240189628416
damnbiaa,"b'don?t have sex, you?ll get pregnant and die'",Portugal,1306715215124463618
Vikinga1902,"b""I'll drag u. Trust me""",Portugal,1306715162309689349
nunabarroso,b'RT @damnbiaa: hit me like a man and love me like a woman https://t.co/iAkPrbqwSR',Portugal,1306715151698145281
baynarx,"b'RT @josemorgado: Victoria Azarenka beats the world number five and Australian Open champion Sofia Kenin 6-0, 6-0 to reach the last 16 in Ro?'",Portugal,1306715150544560128
wjefilm,b'@saysominaj its ahgase* and WHAT',Portugal,1306715113236443142
gajoquefala,b'Isto... https://t.co/09SjJuAWDZ',Portugal,1306715089425268740
DESIFOTOLISBOA,b'Now playing The winner takes it all by Abba!',Portugal,1306715065622593537
reblimalima,b'You deserve to be somebody you love.',Portugal,1306715042327527426
TomsAiresPerei2,b'@luanacjanuario Ly Lu???',Portugal,1306715042201690112
GaianBrito,b'@MarkAmesExiled Which is amazing given its geographical spread and lightning speed.',Portugal,1306715031434911744
jikkyou33,b'@lendas_fut @RuiBernadino @Luismbf24 @Tbarros87 @LobitoSandro @PauloPires00 @Rafael_L_Silva @Costa_Vicente? https://t.co/4TdO4RuPzK',Portugal,1306715029706862596
_Damian_14,b'@RORODMT Same',Portugal,1306715019623751692
AlexandreRute,b'RT @yourcenar1234: Done! https://t.co/kqDjBrCpEF',Portugal,1306714981535186948
mrnimoy,b'@lali_sweety @naura_m you worry and care too much about these lazy fuckers that give zero fucks about the classes.? https://t.co/GSjEDxDNZ0',Portugal,1306714979660333056
andre_neta,"b'Fuck u all , im loosing 21 lp, fix that shit @loleu'",Portugal,1306714948236718087
shortsadbroke,b'@lima_wayne Spiderman 2 com o electro?why?',Portugal,1306714936953974784
alchemytoday,b'@LesterCovax @CT_Bergstrom @wilnerhotline Yeah I went to UIUC and our team mostly sucked but still not that different',Portugal,1306714932969377799
ines_maximiano9,b'RT @damnbiaa: hit me like a man and love me like a woman https://t.co/iAkPrbqwSR',Portugal,1306714921565147141
GuilhermeCape13,b'Girl on power https://t.co/zpH8me7sw7',Portugal,1306714920923299841
Alphys_Hedge,"b'RT @DrCisco: @Hbomberguy You know the old saying: ?Cops are like a box of chocolates, they kill dogs?'",Portugal,1306714920185069568
today_in_music,"b'1973 - Hugo Winterhalter, composer, dies at 63 #thisdayinmusic'",Portugal,1306714919853854726
sofialmendes,"b'As long as they are ""decently"" numbered, I don\'t care anymore ? https://t.co/QsTeS9fgeV'",Portugal,1306714899876282369
extra_ebc,b'RT @WheelOfFurtune: So you agree religion comes from fear and irrationality?',Portugal,1306714897993076737
SaintMasango,b'My brother ?? https://t.co/i2W4KSzppw',Portugal,1306714853051113477
damnbiaa,b'@sandrafcp_ @teenagez0mbi3 ???????fuckkk',Portugal,1306714852229033984
shortsadbroke,b'?Four movies you?re pretty sure you like more than anyone you know? https://t.co/2hkSCsr8FS https://t.co/N7FXvmI8AD',Portugal,1306714841302863872
tiagocostapt,b'@rodtrent If only I could buy one.... @panos_panay any plans to sell the Duo in Europe?',Portugal,1306714831706378241
NunoFlix3,b'Lil Peep- lil jeep',Portugal,1306714796214095872
biasteaparty,b'RT @damnbiaa: hit me like a man and love me like a woman https://t.co/iAkPrbqwSR',Portugal,1306714789528449026
claudiafaalves,"b'RT @sara_a_alves: I saw you again, it felt like we had never met, and what have you done with the one I love? https://t.co/Xl8bTk8Jvj'",Portugal,1306714780758138880
laurabrancoo_,"b'RT @naninhazzz: I want a long life, a legendary one'",Portugal,1306714769857052674
