user,text,country,id
waldgaenger1,"b'@atrupar this, but unironically'",Romania,1306697850819149825
waldgaenger1,"b'@CathyYoung63 @IanAdAstra @NewsdayOpinion Ask yourself, is there anything Trump could say or do that you wouldn?t c? https://t.co/JECFCtlUo9'",Romania,1306696825332789248
waldgaenger1,b'@maxhavelaar1967 @CathyYoung63 @NewsdayOpinion Where? Where? We must stamp them out immediately!',Romania,1306694816835809280
DragosCosmin15,"b""Will Mystery's favorite singers is: Blackpink and me favorite singers is: Chanel West Coast! ? ? \n\n#Blackpink? https://t.co/YtgKE3ObFY""",Romania,1306694448097751041
DragosCosmin15,"b""What's your favorite Chanel's Face: SHOCKED or ANGRY ? ?\n\n#ChanelWestCoast #AmericanArtist #? #?? #FaceHumor \n\nFoll? https://t.co/WXsVh27YLD""",Romania,1306693182403555328
jhonny88964279,b'@PlayApex Bloodhound needs to be removed its like hacking',Romania,1306692798129803264
PeridotC3,"b'@stuffily Me when Stuffy steals my pics and posts them on Twitter, but idc and I need to clean my dishes https://t.co/wBRMmYGig2'",Romania,1306684973643071488
PeridotC3,"b""@stuffily Don't""",Romania,1306684655287046146
waldgaenger1,"b""@HPluckrose It's like you take pleasure in enraging everyone""",Romania,1306683565304950785
UTDAndu,"b""@WaldoWenger No drip, can't be my youngster""",Romania,1306681897767104514
DragosCosmin15,b'? INSTAGRAM: https://t.co/uAfWAcrEce',Romania,1306679271512051715
DragosCosmin15,b'? INSTAGRAM: https://t.co/uAfWAcrEce',Romania,1306679193573429248
DragosCosmin15,"b'* Characters: Brandon, Noon, Sun and Lee \n* Boards: Wayfarer, Dragon, Panda and Sunset \n\n? https://t.co/PzMUzPejb3? https://t.co/6y7VsIG2fj'",Romania,1306679101156192260
DragosCosmin15,"b'* Characters: Brandon, Noon, Sun and Lee \n* Boards: Wayfarer, Dragon, Panda and Sunset \n\n? https://t.co/PzMUzPejb3? https://t.co/CTyDozx2Oj'",Romania,1306679094667612163
waldgaenger1,"b""@vertigayle @Yamiche wow you're like born again now, found your religion, huh""",Romania,1306674858781290496
waldgaenger1,"b""@Yamiche He's absolutely right, great that the president will say this.""",Romania,1306674579847499777
waldgaenger1,b'@HPluckrose both valid points',Romania,1306673604558499840
DaGeorgePiggy,b'@KreekCraft Do it right now kreek',Romania,1306668819100950528
