user,text,country,id
AissaCyiza,b'@rubayiza6 @JackieLumbasi @evolve_limited Too young to make love??',Rwanda,1306715450517139456
ikisraela,b'@DeAmoramigo @YouTube @JackieLumbasi @DanielSabiiti @RoyalFMRwanda @stellatush Ooh yeaah???',Rwanda,1306715440513720325
niyingabira,"b'In this week\'s #sundaylive on @citizentvkenya, @KoinangeJeff will be exploring how #Rwanda is dealing with the ""big? https://t.co/wfrVzGI0FL'",Rwanda,1306715336864079873
AissaCyiza,b'@JackieLumbasi @evolve_limited ?????? making love shaaaaa??',Rwanda,1306715284447911938
HenryonelO,b'@Jacenorman where have you been!',Rwanda,1306714955639590913
LisaUwonkunda,b'the excellence  https://t.co/GYnopURAUH',Rwanda,1306714880561512448
Mugyuka256,"b'Jesus""verry sorry to Uganda but sounds good due to none has been still in bus? https://t.co/GbIriV7qFO'",Rwanda,1306714869241196547
arnold_triumph,b'@MiamiHEAT Am all up for it',Rwanda,1306714806863278080
lion_l17,b'@kigalisveryown @AlaineSimbi KD is there with him!! ??',Rwanda,1306714707403964416
BrunoMalick,b'@Nzima_kelly @igor_1st @christian_muc_ @patos00 @iamdedit We dont give a damn bro??',Rwanda,1306714638659321856
Akana_Ka_BNR,b'@dybxnny ???Really se??',Rwanda,1306714592379392008
maryjoymael,"b""RT @titanaggie: They should've reserved front seats for us people from the village, we don't want to see girls in mini skirts. Let me go ba?""",Rwanda,1306714507494948867
mutoni_27,"b'@Akanyanaa I didn?t say you said that lol, you are not the first person talking about people walking with their phones'",Rwanda,1306714439513714690
RegisRwandaa,"b'""Alcohol may be man\'s worst enemy, but the bible says love your enemy.""\n\nFrank Sinatra'",Rwanda,1306714417535635457
derek7ug,b'@UtdDistrict @mufcMPB Interest rate fc',Rwanda,1306713964823207936
Naj_Daniell,b'RT @derek7ug: But are there Ugandans who disorganize political and social peace in Kigali like how those mates do it here. https://t.co/2wN?',Rwanda,1306713929805115393
brownschuga2,b'Kyle is such a MUTHAAAAAA ??????????????????\n\n#TheOvalOnBET #TheOvalSeason1 #TylerPerry #politicaldrama https://t.co/p6L2aFOuEL',Rwanda,1306713927053647872
BryanKimenyi,"b'RT @SunnyNtayombya: MY LATEST BLOG: So, I decided to become a farmer. If only I had known how arduous that journey would become, maybe I wo?'",Rwanda,1306713832186949635
guy_mouofo,"b'Just posted a photo @ Kigali, Rwanda https://t.co/ja9SlbvdOZ'",Rwanda,1306713817754210305
BikorimanaGera2,"b'RT @Rwandapolice: As we continue the fight against the spread of #Covid-19, we would like to again remind the public that road safety is st?'",Rwanda,1306713695435796487
FGoloobaMutebi,"b""@Fromagehomme @TheAfricaReport You haven't answered my questions, Nic.""",Rwanda,1306713638326153217
inezaaaaa,b'@Oxanne14 Sis wut ?',Rwanda,1306713619510558721
I_nicola5,b'@p_princia The other toes did no justice to the last one. Not fair ??',Rwanda,1306713348713721856
FGoloobaMutebi,"b""First it was the red beret. Who owned the symbol? Even the army was drafted in. Then it was BW's age. Then BW's aca? https://t.co/9zNXshKQGp""",Rwanda,1306713115778744322
