user,text,country,id
ziyadalbakri1,b'it?s too dark here',Saudi Arabia,1306715649415225345
sunborn_,b'these devils are trying to hang on to what little they got by all means',Saudi Arabia,1306715614258569223
sunborn_,"b""@Yamiche These people stunk up the planet and now there trying to teach our children that they're good people? Gtfoh!""",Saudi Arabia,1306714765537017858
iALG122,b'@_WX0YZ Mood : https://t.co/c28kNrwdbH',Saudi Arabia,1306714333183959040
angellljana,b'Good night baby?s????',Saudi Arabia,1306714315987324940
Sayed_ayman21,b'@92llq Home',Saudi Arabia,1306713851472285696
sunborn_,"b'@BlackVoice4u Bro, this is a new world. \nA world where everything that is right, is wrong and everything that is wrong is right.'",Saudi Arabia,1306713222028894208
za_1419z,b'I am lucky?????????. https://t.co/5ARop2CNsF',Saudi Arabia,1306712980210569216
4xcil1,b'@i7_rl Happy birthday reema?????',Saudi Arabia,1306712736513118209
mubex20,"b'RT @Aynan_Abdul: Be The same \nPrivately, Publically, and Personally?'",Saudi Arabia,1306712524570664961
khaleefson5,"b'RT @Aynan_Abdul: Be The same \nPrivately, Publically, and Personally?'",Saudi Arabia,1306712492366868481
AbuMohammad1406,"b""@BlacKapital @TIinExile ?? WARNING :\n\n? If you want me to find you stuff from the #Bible,\nthen don't forget that 2? https://t.co/F0W6hABHfo""",Saudi Arabia,1306711845005385728
7quli,"b'sometimes you just gotta stay quiet, no matter how you feel.'",Saudi Arabia,1306711744522448899
mnvrn_,b'Best day ever with my lovely friends????????????????????????18/SEP',Saudi Arabia,1306711681389727748
iamferaskhalifa,b'Tell me pretty lies',Saudi Arabia,1306711568554627074
vilaandrealili1,b'RT @MrWaqasAkram: I will keep you safe within the chambers of my heart together you (Tayyaba Waqas) &amp; me writhing an unforgettable love sto?',Saudi Arabia,1306709860403290114
lyoshx1,b'@xMoonoloo24x THIS IS MY GURLLL????????',Saudi Arabia,1306709771429515270
l_Lola_7,b'We all gonna die anyway https://t.co/2iQxS8WpPa',Saudi Arabia,1306709757047328769
lyoshx1,b'@ImaneDounia1 Aww i am fine sweetie:(( i am so happy that you are back again:((((\n i even screamed when i saw ur tt:((( love u',Saudi Arabia,1306709023752941569
exaza12,b'@jliijl4 Same wallah',Saudi Arabia,1306708794823540738
FASTUDIOS2,"b'RT @Aynan_Abdul: Be The same \nPrivately, Publically, and Personally?'",Saudi Arabia,1306708526778155008
MyoOoMH1,b'Manner in Islam is selflessness. It means to love for others what you love for yourself and considering their happi? https://t.co/QelDTJgPk6',Saudi Arabia,1306708272909635586
ldd2407,b'RT @MrWaqasAkram: Happy birthday! I hope all your birthday wishes and dreams come true.??\n#HBD_Ashoo \n#????_????? \n@YSA__O https://t.co/Y77?',Saudi Arabia,1306708184883761152
ldd2407,b'RT @MrWaqasAkram: May the joy that you have spread in the past come back to you on this day. Wishing you a very happy birthday??\n#HBD_Ashoo?',Saudi Arabia,1306708171751337986
ldd2407,"b'RT @MrWaqasAkram: As I sing happy birthday to you, it is you that puts the song in my heart and the music in my life. Happy Birthday my Beu?'",Saudi Arabia,1306708159034265606
ldd2407,b'RT @MrWaqasAkram: Blow your candles out and make a beautiful wish. I  will do everything to make your birthday wishes come true. Happy Birt?',Saudi Arabia,1306708143146229763
ldd2407,b'RT @MrWaqasAkram: I will keep you safe within the chambers of my heart together you (Tayyaba Waqas) &amp; me writhing an unforgettable love sto?',Saudi Arabia,1306708120635346944
joy3wm,b'Why would you',Saudi Arabia,1306707670179684359
TBGTNT,b'RT @MrWaqasAkram: I will keep you safe within the chambers of my heart together you (Tayyaba Waqas) &amp; me writhing an unforgettable love sto?',Saudi Arabia,1306707330629857280
TBGTNT,b'RT @MrWaqasAkram: Blow your candles out and make a beautiful wish. I  will do everything to make your birthday wishes come true. Happy Birt?',Saudi Arabia,1306707274518466562
TBGTNT,"b'RT @MrWaqasAkram: As I sing happy birthday to you, it is you that puts the song in my heart and the music in my life. Happy Birthday my Beu?'",Saudi Arabia,1306707252271894528
TBGTNT,b'RT @MrWaqasAkram: May the joy that you have spread in the past come back to you on this day. Wishing you a very happy birthday??\n#HBD_Ashoo?',Saudi Arabia,1306707229874311170
sunborn_,b'@acheatingvegan Stop it!! ?',Saudi Arabia,1306706890714427400
sunborn_,b'@BlackVoice4u White is recessive Black is dominant. \nWe all got a little of this and that in our DNA but black overrides all of it ? ?',Saudi Arabia,1306706731301588992
lyoshx1,b'@ImaneDounia1 How are u?????',Saudi Arabia,1306706335451447299
ihadmo,b'Happy day. Happy mood https://t.co/b0Ad3l13vg',Saudi Arabia,1306706304224952323
lyoshx1,b'@sugareymir I don?t understand very well too?',Saudi Arabia,1306706252974755840
Yildiz881,b'Ain?t nobody gon love you like I love you',Saudi Arabia,1306706081658400768
xxwm15,"b'@On_Your_Knees_1 @PlayingDevilish @Daydreamer8991 @Sucesspictures @Darksidevid So after all these facts,\nI wonder w? https://t.co/vOWlKXprdK'",Saudi Arabia,1306705725972979712
rahafalharbii9,"b'""When the hour and minute hand align, the world holds its breath for second at zero O\'clock""\n- 00:24'",Saudi Arabia,1306705661640822787
SilvasRandy,b'RT @sunborn_: Peace to all the righteous people of the earth ?.',Saudi Arabia,1306704813313404931
Adofstone,b'RT @adeezaman: Thank You For Your Brave And Fearless Leadership. I Hope That You Have A Day of Joy And Rest On Your Birthday.\n@AltafHussain?',Saudi Arabia,1306704299213426693
osmvh,b'G O O D    N I G H T ??? https://t.co/G1ZCyz4qij',Saudi Arabia,1306704257991704577
_fab99,"b""How to describe something that doesn't exist????? https://t.co/p7Og3SuQAX""",Saudi Arabia,1306703955397935104
drugfulv,"b'Take the worst situation, make a worse situation.'",Saudi Arabia,1306703788279988225
revali__,"b'RT @B2Hz2: @revali__ We are born of the cringe.  \nMade men by the cringe.  \nUndone by the cringe. \nFear, the old cringe. https://t.co/cuCik?'",Saudi Arabia,1306703523111895044
i3xull,b'@7uiiic_ Happy birthday my best???',Saudi Arabia,1306703157955887105
lyoshx1,b'@AslanbeyAzize We waiting for you???',Saudi Arabia,1306703136254504961
ayman_M74,"b""I'm at Joppie fries in Medina, Al Madinah https://t.co/S7HeapkrhB""",Saudi Arabia,1306703005123842048
lyoshx1,b'@ImaneDounia1 shhheeee iiiisssss bbbaaaaaccckkkkkkkk??????????????????',Saudi Arabia,1306702979081416707
_xoNinaox_,b'@nolan_north @retroreplayshow Are you gonna play uncharted 4?',Saudi Arabia,1306702885971988492
