user,text,country,id
Denyseeeeeeee,b'Seriously? ? https://t.co/KVZrU75lik',Senegal,1306715694353055744
KyiraaRa,b'Saturday gone b lit asf! ??',Senegal,1306714021031272449
Angelalovespnd,b'HEADSHOTS!!',Senegal,1306713461347487744
Magueye_N,b'RT @GaydelsamaMame: Road to 18 Safar ??\nNdeye Touba ?? https://t.co/6f6xdsXSxX',Senegal,1306711955856556038
BAMBA_D45,b'RT @GaydelsamaMame: Road to 18 Safar ??\nNdeye Touba ?? https://t.co/6f6xdsXSxX',Senegal,1306711353118384129
KyiraaRa,"b'@Brooklyn3333333 Wya sis, I just stopped in yo shop with Trent ?? it?s nice asf too'",Senegal,1306711219173240833
_goat11,b'RT @camlaww: Officially a homeowner!',Senegal,1306710230378704898
MerkMilly,b'Cryin https://t.co/gZcrtA1Brr',Senegal,1306709737829027840
MerkMilly,"b'@sueisdone @Reginald_the2nd @weirwoodtreehug @Chosen__83 @OleSabrinaM Im not the one saying it?s work tho, that?s y? https://t.co/TPFKwWmMCC'",Senegal,1306705215857586177
unseriousbitchh,"b'if my brothers say i?m ugly, i?ll simply take it as a compliment now?'",Senegal,1306703612152774657
LanceSherlock,b'RT @x3mism: Social media is characterized by people trying to convince the entire world that their hallucinations are a reality and at arms?',Senegal,1306702448145371152
MerkMilly,b'They don?t even care no more they throwing it in our face now ????? https://t.co/Ex9rIsVt1u',Senegal,1306702394584170496
MerkMilly,b'If you like him PS5 him',Senegal,1306701612270968840
TheRealDenzhe,b'No politician(s) will save us',Senegal,1306699950009581568
ashseraka1,b'RT @TheRealDenzhe: Yes and I have not regretted it https://t.co/MduuFUPMks',Senegal,1306699694656098304
MerkMilly,b'@ab_bigfish @brownandbella @kremedelakitty_ Lmaoo right',Senegal,1306699641795284995
camlaww,b'Officially a homeowner!',Senegal,1306699623436660737
TheRealDenzhe,"b'The sooner we go back to being Africans, the better for everyone'",Senegal,1306699197689851904
camlaww,b'@_ashleyaunya Stop dealing with men who shower with one towel.',Senegal,1306698877572124673
TheRealDenzhe,b'With whose money? https://t.co/2JUTRSGA4S',Senegal,1306698687251390464
MerkMilly,b'@sueisdone @Reginald_the2nd @weirwoodtreehug @Chosen__83 @OleSabrinaM If you consider that work then you shouldn?t? https://t.co/6LgArC582n',Senegal,1306698086010552321
TheRealDenzhe,b'Yes and I have not regretted it https://t.co/MduuFUPMks',Senegal,1306698058865012738
Chemist876,b'RT @danzwavyyy: I automatically lose respect if you act different to impress other people.',Senegal,1306697958755315712
KyiraaRa,"b'Lol mannn I might need some fr, from da realist doe ?? https://t.co/0h1Q8F9Rzs'",Senegal,1306697917558853632
unseriousbitchh,b'migraines are fucking ugly',Senegal,1306697563173801984
lllitlorde,b'@BoxingHistory This is epic mate.',Senegal,1306696656243621889
unseriousbitchh,"b'if u disrespect me for not liking lettuce in my burger, then ur also disrespecting MHuncho lmao lmao lmao'",Senegal,1306696626182987776
danzwavyyy,b'RT @danzwavyyy: Stop expecting honesty from people who aren?t even true to themselves.',Senegal,1306696565067862023
danzwavyyy,b'RT @danzwavyyy: I automatically lose respect if you act different to impress other people.',Senegal,1306696522357256198
danzwavyyy,b'RT @danzwavyyy: Getting attached to someone is not for the weak.',Senegal,1306696449187553280
KyiraaRa,b'Lovee youuuu ??? https://t.co/GWZMwwL7C8',Senegal,1306694695876284419
hippschalant,"b'@kevtalktoem Met lil mama at xxl, she was hot asl'",Senegal,1306694285606215681
6sabs,b'@Sanaaa__i the vybz when we next link up ... https://t.co/7dAODurJ6o',Senegal,1306693412062744579
6sabs,"b'@mykelm22 as in lyke unprovoked, like when theres a way they talk to pretty girls and when they talk to girls then dont find attractive ygm?'",Senegal,1306692343744081920
6sabs,b'@Sanaaa__i HAHAHHAHAHAHAHAH bruh i wanted to be threatned ?',Senegal,1306692146561511424
tipsquared,b'RT @x3mism: Social media is characterized by people trying to convince the entire world that their hallucinations are a reality and at arms?',Senegal,1306692088667484160
hippschalant,b'@arioneroyal Hippie_otto',Senegal,1306691332925259776
_AdonisRafaeL,b'RT @x3mism: Mother arrested after murder of her 21-month and 3-year-old girls https://t.co/ECLC1015Jc',Senegal,1306690130615377937
_hai_lee_,b'RT @KeithCozyy: @_hai_lee_ Whoop her ass',Senegal,1306689578489667584
KeithCozyy,b'@_hai_lee_ Whoop her ass',Senegal,1306689256593612806
KeithCozyy,b'Niggas hot and bothered at 1pm on this beautiful day? Couldn?t be me?',Senegal,1306689190273232897
Marmartota2001,"b'@waywardclownn Me, hands down?'",Senegal,1306687466628358156
KeithCozyy,b'@playgirlbritt What we doing',Senegal,1306683554655420417
geosweet_,b'Y?all wanna be accepted by everyone so bad',Senegal,1306681761229877249
theafrodigiac,b'@so14below awaiting your thoughts cuz this is the real nonsense! ?',Senegal,1306680719440261120
theafrodigiac,b'@so14below had to have google translate cuz it?s in vogue italia. but chile SMH here it go: https://t.co/QsSSQk9JT9',Senegal,1306680457074036737
theafrodigiac,b'and YES. i read the article too and niggas still ain?t give us nothing.',Senegal,1306679437124087812
theafrodigiac,b'i legit been tryna understand this but i can?t. ?',Senegal,1306679345520480257
theafrodigiac,"b'@labelletogolais like, A LOT. i?m really confusion. https://t.co/uj2fhVxfJ6'",Senegal,1306678849342713865
theafrodigiac,b'@byshefon i legit read it over 10 times to really understand and then went to read the article and still gave us no? https://t.co/uMMFYol5QH',Senegal,1306678721101869057
theafrodigiac,b'@wowiwrite chile like wtf is u saying',Senegal,1306678572799725568
micahlee_,b'RT @danzwavyyy: Getting attached to someone is not for the weak.',Senegal,1306678003339079680
CheikhTijGueye,b'RT @GaydelsamaMame: Road to 18 Safar ??\nNdeye Touba ?? https://t.co/6f6xdsXSxX',Senegal,1306677917464879105
Ssadio5,b'RT @GaydelsamaMame: Road to 18 Safar ??\nNdeye Touba ?? https://t.co/6f6xdsXSxX',Senegal,1306676316125704204
6sabs,b'@mykelm22 nah man not like that styll ???',Senegal,1306674614693699585
6sabs,b'@mykelm22 being rude',Senegal,1306674105329037313
MerkMilly,b'@idc___idgaf @_VTwizzy @JackNForTweeets Lmaoo y?all really be saying anything on here',Senegal,1306674003730366465
Mennaispretty,b'RT @MohabSoliman11: We FINALLY got everything ready..!! https://t.co/6L4jcLWoeX',Senegal,1306671656883097600
miinjuri,"b'@hyuxjin I can?t sleep, hbu??'",Senegal,1306671557259870208
miinjuri,b'@hyuxjin as always dude',Senegal,1306669337613197314
IAMTUMI,b'RT @x3mism: Social media is characterized by people trying to convince the entire world that their hallucinations are a reality and at arms?',Senegal,1306669106721173505
LoveQDeVaughn,b'My eyes automatically began to water ? his vocals are angelic perfection. https://t.co/4SsQSENTJd',Senegal,1306668930732306433
miinjuri,b'@hyuxjin you look so damn cool ?',Senegal,1306668808296308736
Marmartota2001,b'@HorizonHuman @DanMilano Thanks ??',Senegal,1306666873384308737
HorizonHuman,b'RT @Marmartota2001: I drew Miko https://t.co/1ZJ8EscUxU',Senegal,1306666183048007686
rcadyn,"b'RT @Imhotep912: so #aljazeera is starting new attacks on #egypt, for protecting the egyptian border with #gaza. \nbut I want to ask, which i?'",Senegal,1306665509014953991
