user,text,country,id
puric21,"b'Please help support Asia Youth International MUN, add a #Twibbon now! https://t.co/7mLtQqw6kV'",Serbia,1306714566236147714
whorshippussy,b'@VanessaCool4 Omg look at those giant tits ??',Serbia,1306713535712563200
MasalMico,b'@Emishor @haarppp Game of the year!!!!!!!!!!!',Serbia,1306712407528611845
Licke996,"b""@DavidVujanic It's shame that both teams can't go through they deserved it equally""",Serbia,1306711683008811009
petkokv,"b""@YoungEG03 @ArbenRugova @SinisaMilanovi5 @RichardGrenell first, you obviously don't know the definition of terroris? https://t.co/vi4VyIqQgW""",Serbia,1306708567295250433
dzontrah,b'Stand by me',Serbia,1306700861402476549
shakylaa_,b'my bf really so supportive. it?s unreal.',Serbia,1306697730312597505
taticatikica,b'simp https://t.co/HYsxkLQWdW',Serbia,1306696334876049412
dzontrah,b'@znamdaznaskosam Idemo bulk season',Serbia,1306691599716569088
taticatikica,b'@icydora prekini sa it?s the ___ for me molim te https://t.co/gbfJ6Jb6cj',Serbia,1306688439178403860
begifnbr,b'@KraveeFN same with me today',Serbia,1306686699125256197
taticatikica,b'why did you do my boi like that in front of 7000 people brate',Serbia,1306686491314270209
taticatikica,b'he got caught lackin https://t.co/oTIuPLiMTp',Serbia,1306686335701352448
maleticjana,b'RT @ma_ciao_bella: tested positive for being glupa ko tri kurca cause i believe in all your lies',Serbia,1306683044401643520
tikicaam,"b""RT @drittennovember: it's official now! ?? https://t.co/SyX3A2REH4""",Serbia,1306680464296599554
Somerhalder_969,b'Pre je sad fact nego fun fact https://t.co/kNOfBdFxHz',Serbia,1306679875273662465
SofronijeUE,"b'""The Rumble in the Jungle""\nhttps://t.co/uQonEhhY1M'",Serbia,1306675440334106624
Saranac_89,b'@torybruno Will there be some special engineering cameras onboard for this mission?',Serbia,1306675067598835720
ZoranStevanovic,b'Black &amp; White #blackandwhite #portrait #scream @ Profi Max Studio https://t.co/XVmhjBWZOi',Serbia,1306674925013528576
movidic15,b'@ManUtd will probably sign the admin instead of players https://t.co/0IVFKSeFj4',Serbia,1306668829163089920
dzontrah,b'@bebi966 Amin',Serbia,1306663393789706241
izvini_betmene,b'@endi_vladimir I mene ?',Serbia,1306662705055649794
SMSlavisa,b'Hair - Age of Aquarius HD (HQ Audio Remastered) LOUD https://t.co/hrZS97Zm7f via @YouTube',Serbia,1306657013720657920
jovanovicc10,"b""@trvnnix So come, let's watch the rain as it's falling down""",Serbia,1306652524494180354
BoruskyMiech,b'Twitter header for @RyanTOP_ \nShen - League of Legends https://t.co/etQGkixiVZ',Serbia,1306652284588261377
begifnbr,b'@rezonay_ Kyros triorr',Serbia,1306644812658073607
fairerdesign,b'@Baileymurphy hey ya https://t.co/O9vwMuPBys',Serbia,1306636731521916928
hocukuci,b'@banye_west this nigga really fixed wolves',Serbia,1306635193630027782
ma_ciao_bella,b'@katarinaaaa9 i do that?!',Serbia,1306630151858532354
jare002,"b""@MopiMopiPopo @moobeat nautilus got a conqueror skin, they won't give him a Victorious skin ? they're making a new one afaik""",Serbia,1306622952885178369
movidic15,b'Honda Civic drivers... https://t.co/45zpW3vjIf',Serbia,1306619292025266179
shakylaa_,b'@BigsmokeKo @_marieacheyrell she just be talking on twitter',Serbia,1306618342535565313
ma_ciao_bella,b'tested positive for being glupa ko tri kurca cause i believe in all your lies',Serbia,1306618000678805504
rhinoryan89,b'RT @babamanijak: HALF YEARS STREAMING!!!GG tournaments! Giveaway !giveaway! Marbles! !play. https://t.co/zD6ywmkNX1',Serbia,1306611601991233539
shakylaa_,b'@_9lves @_marieacheyrell she just on here chatttttty',Serbia,1306608542519119874
shakylaa_,b'@ChloeMonetW___ @_marieacheyrell me too ?',Serbia,1306608238314614784
begifnbr,b'@KraveeFN i already know the rating',Serbia,1306602400501788673
Saynezinho,"b""RT @BoruskyMiech: Twitter Header for @whoisTheDoc \nRengar x Kha'zix - League of Legends https://t.co/m8I1i7Zqr9""",Serbia,1306601454560571393
aleksotop,b'@TechYESCity And that is the Tuf usually 699$',Serbia,1306598236191297540
petkokv,"b'@YoungEG03 @ArbenRugova @SinisaMilanovi5 @RichardGrenell and before Yugoslavia, what happened before ???'",Serbia,1306597110939365376
petkokv,"b""@YoungEG03 @ArbenRugova @SinisaMilanovi5 @RichardGrenell and what I'm telling you about drugs is that you weren't a? https://t.co/TwXnJQnvIY""",Serbia,1306596703852802048
posadimo_burek,"b""RT @drittennovember: it's official now! ?? https://t.co/SyX3A2REH4""",Serbia,1306595762306867203
