user,text,country,id
coffee_phoenix,b'Ceremony starts in just under 19 hours!! Can?t wait ???? ?????????????? https://t.co/OCHPxFBtwy',Slovakia,1306689031443447808
przekwant,b'This is fine https://t.co/Ji3uGbU7Ym',Slovakia,1306646500693479426
FPVMV_UMB,"b'RT @husenicova: I believe this is worth of my first tweet ever... my book is out... first ever, in Slovak language about DPRK #dprk #politi?'",Slovakia,1306551725944430594
martin77k,b'? The best moments from the city ? hell.\n\nhttps://t.co/e2i1pi1hnV\n\n@VirtualGPcz \n#iracingofficial #simracing? https://t.co/0twnNIPxeS',Slovakia,1306548453804306433
husenicova,"b'I believe this is worth of my first tweet ever... my book is out... first ever, in Slovak language about DPRK #dprk? https://t.co/QiGNpyigTc'",Slovakia,1306547879226548224
the_nepthy,b'@Wowhead @Dratnos definitely not',Slovakia,1306529322287718403
MPatarak,b'The problem of an aggressive patient in psychiatry is the same regardless of whether the psychiatrist is from New Y? https://t.co/sKGGtxE4U1',Slovakia,1306439345046511617
morthimeer,"b'@Wowhead Venthyr,  I am reallt digging the gothic vibe from therm'",Slovakia,1306407038696726528
hondasld,b'@Pol_Ruitenberg @Sliedrecht24 Succes ?',Slovakia,1306324021437493250
RadoBudos,b'@brad_keffer Unless they trade for some AHL tweener at the deadline again and make him a line-up staple. Because of size or something.',Slovakia,1306254660781723649
bohacikadam,b'@Timzhu9594 Legit ?',Slovakia,1306236338665148425
bohacikadam,b'@PeenutCooksW Legit! ?',Slovakia,1306223238893187072
avfc_david,b'RT @the_nepthy: @AVFCOfficial @premierleague @emimartinezz1 Treat him well @AVFCOfficial  family.',Slovakia,1306166972909051905
the_nepthy,b'@AVFCOfficial @premierleague @emimartinezz1 Treat him well @AVFCOfficial  family.',Slovakia,1306166305905668097
slovakspectator,"b'RT @PeterDlhopolec: The [fj??n] #festival, celebrating #diversity in #Slovakia, kicks off in #Bratislava this #Friday! Make sure you listen?'",Slovakia,1306147715080953858
PeterDlhopolec,"b'The [fj??n] #festival, celebrating #diversity in #Slovakia, kicks off in #Bratislava this #Friday! Make sure you li? https://t.co/mK11zIEDxY'",Slovakia,1306117715841691648
coffee_phoenix,b'Exhausted at the end of the day and dealing with self doubt? Well at least I didn?t have to write a symphony standi? https://t.co/HdfBg54o9o',Slovakia,1306001959107940352
tadoslav,b'Reading Genesis 1 as Literature and Three Problems it Creates for Evangelicals https://t.co/IY5YgsPedX',Slovakia,1305981302945075207
naSlovensko,b'Reading Genesis 1 as Literature and Three Problems it Creates for?Evangelicals https://t.co/qgNyz1ljv5',Slovakia,1305944743503949826
blchandler9000,"b""@BetsyBG @KnottDonn @AngrierWHStaff Of course not. They'd be excommunicated and out of a job.""",Slovakia,1305934006639357952
RadoBudos,b'@sonemic @Bandcamp I would definitely buy my three favorite albums of the year so far:\nRamper - Nuestros mejores de? https://t.co/5T3SBPOI7D',Slovakia,1305930442403704832
Aivri_Music,"b""@II_MCArch_II From my experience, that doesn't just apply to #brony metal musicians, but for metal musicians in general. ?""",Slovakia,1305771138241437696
VirtualGPcz,"b'RT @martin77k: ? I moved to 14th place in the overall ranking, after race in Belle Isle.\n\n? The team standings remained unchanged.\n\n@Virtua?'",Slovakia,1305540448484831235
martin77k,"b'? I moved to 14th place in the overall ranking, after race in Belle Isle.\n\n? The team standings remained unchanged.? https://t.co/jxPU8kgl8A'",Slovakia,1305539270829125633
bohacikadam,b'@yungchadillac Legit! Smooth deal',Slovakia,1305524581902495746
FECU_Rk,b'https://t.co/jyYV8NOMfH\nWe celebrate the success of our colleagues from the Department of Social Work! ???\n#Erasmus? https://t.co/FjHqTFJ8RL',Slovakia,1305486234190520320
Adamjeboch,b'Love is in air force',Slovakia,1305452575672676353
