user,text,country,id
magbalmichelle2,b'good morning tyl',Slovenia,1306714627342913536
akagucciking,b'@fearlessltommo yeah dead me &amp; you',Slovenia,1306713168346075136
akagucciking,b'@fearlessltommo sounds like a plan',Slovenia,1306713127803924481
23Danijel,"b'@Magdalenahahaha Being gay is more jokey, sounds feminine, funny version of gay.\n\nHomosexual is more politically co? https://t.co/fVxMN4Yuc2'",Slovenia,1306704147262189573
23Danijel,"b""@Magdalenahahaha Aha. Found it weird how you used homosexual and not No, it's gay.""",Slovenia,1306701727354228737
23Danijel,b'@Magdalenahahaha Why does no mean (only) homosexual?\n\nAnother possibility is surely missing. One is allowed to not? https://t.co/uCSxo1EFbQ',Slovenia,1306699877536104450
breki74,b'Nevermind that a company is  branding their technology as exactly fitting this kind of use case https://t.co/orbzqbKh48',Slovenia,1306699774029107200
TamoVendetta,b'@agbffbga Oh man????',Slovenia,1306699296264409088
coyfiles,b'2 fun fact: coyfiles was writed 5 almost 6 times from july of 2019 to now(2020).',Slovenia,1306698945356337152
brgrz,"b'@alexhribsek I know about that option. I was asking if something new, ?official? is in the works. It is not, I got? https://t.co/q91FwAFa2W'",Slovenia,1306685008770408453
Eunhrmyuk,"b""I don't worth anything.""",Slovenia,1306675506981613570
JasaLorencic,b'Mimogrede... Coleraine - Motherwell 0:2...',Slovenia,1306672609623527426
lilac_lemonade,"b'@aquawolfgirl Chicago by Sufjan Stevens, Timing was Crucial by Russian Red, Grown by Little Mix ?'",Slovenia,1306668159756374016
Kl3p3r,b'@tilenpirc @tyschew Spet? ?',Slovenia,1306665117053063169
hin_fort,b'@tv_type @loceph @PinkNews of course its a slur because we need a slur to describe vile transphobes like JK lol',Slovenia,1306664710616559617
dlavbic,b'Apple Watch deal with Singapore government will pay people to live healthier lives https://t.co/WulTx1aRsC',Slovenia,1306664036717801473
CarFreiTag,b'@PaulsEnkelin Fuck. Alles Gute!',Slovenia,1306657652865286144
DFK01,b'@MPorenta Shit ??',Slovenia,1306657604823851010
JKJOERG123,b'no more obama! https://t.co/Et9Z8ZAahD',Slovenia,1306655328742912001
JKJOERG123,"b""be extremely cool against Beijing, do not trust CCP, do not deal with them! just as if you wouldn't deal with a vir? https://t.co/2h4giln69E""",Slovenia,1306655133917491200
mntrpxxx,b'Ooo be be my love~\nhttps://t.co/qCxEg8D1nJ',Slovenia,1306653101978341377
