user,text,country,id
vampirekeeley,b'@NHerbooks YES. I rebought them all on DVD!',South Korea,1306714643528708099
Mehmoodbhutta16,b'RT @ahriadose: you attack my heart ? #aquaria https://t.co/pTeVdHP9S2',South Korea,1306714530060345344
vampirekeeley,b'@hardbackhoarder I KNEW YOU WOULD COMMENT! You?re like the only other person I know that loves that movie',South Korea,1306714493527887872
kihyunhamster,"b'I dream everyday about ot10 Pentagon and I know that?ll never happen again, but we have Yanan back and that?s all I can ask for??'",South Korea,1306714070830051329
kihyunhamster,b'I just really really can?t believe he?s back?',South Korea,1306713740780294144
itsnotAyeAyeron,b'RT @SpicyKoreanQ: Lol no one cares',South Korea,1306713293222940672
kihyunhamster,b'I am legit crying right now. We?ve been through so much with Pentagon over the years. And to get a member BACK afte? https://t.co/wxvEncwcx0',South Korea,1306712390214410241
DrDSM,"b'@alexandertperry This is a great take on the episode. It really was disorientingly crammed with content. I think, f? https://t.co/xcPKVgvqrX'",South Korea,1306710828133961728
HeatherChriss,b'RT @SpicyKoreanQ: Lol no one cares',South Korea,1306709342415192064
Tizzle_Tv,b'RT @SpicyKoreanQ: Lol no one cares',South Korea,1306708955440218113
They_CallMe_Q,b'RT @SpicyKoreanQ: Breaking: your back tonoight',South Korea,1306705594091556866
naahte_,b'elle me wouuuuu?',South Korea,1306698350323027974
iam_jt3,b'RT @SpicyKoreanQ: Tap in to my poor-ex team guys https://t.co/JZhqJVW3fz',South Korea,1306692213133410306
ahriadose,b'bambam en 2012: https://t.co/S5oqrF8dap',South Korea,1306682168073125895
angstfeen,b'RT @SpicyKoreanQ: Breaking: your back tonoight',South Korea,1306682096606420992
fr0stsh0ck,b'RT @AeroxOdyssey721: Buncha doodles https://t.co/4XKQGJ1oF9',South Korea,1306681454999597056
mymemoreece,"b""me : it's time to sleep\njoon gi : https://t.co/sXjRsIfTt6""",South Korea,1306680457652707328
cxxks___,b'RT @SpicyKoreanQ: Being a white supremacist isn?t exclusive a right ideal. Lmao a lot of liberals are white supremacists',South Korea,1306680367764705280
SpicyKoreanQ,b'Being a white supremacist isn?t exclusive a right ideal. Lmao a lot of liberals are white supremacists https://t.co/50NmHwycG3',South Korea,1306680079003586560
