user,text,country,id
hernameisfefa,b'@BGBFG14 Thank you so much!! ?',Spain,1306720452979683329
EL_TENOR,b'A Must Joy Division Closer 40th Anniversary Free Vinyl Giveaway #giveaway #win #musiccompetition #musicblogsgiveaway https://t.co/bkmvrjCzPV',Spain,1306720419010023426
Amparo__99,b'@smile_asm19 Yess',Spain,1306720314987098114
hernameisfefa,"b""@PMSchumacker @dcharleyquinn @justin_halpern @deanlorey @lakebell Thank you, Patrick!? I'll keep drawing them in di? https://t.co/CcG3ASyGZu""",Spain,1306720292107104259
iTomasRibes,"b'U2, BB.King - When Love Comes To Town(Rattle and Hum version) \nhttps://t.co/4vHByb2q2x'",Spain,1306720181465554944
ZaneIsZane,b'RT @Elector_Count: Revendreth https://t.co/5sXvywVYvl',Spain,1306720038490079232
LouCubes,b'Cusackness ? in #UtopiaTV https://t.co/QLSg131TWH',Spain,1306720021138243585
sospi01,b'@_Seigel @osboma8 little Sospi approves https://t.co/XEDmdR5Umx',Spain,1306719987701293057
Elector_Count,b'Revendreth https://t.co/5sXvywVYvl',Spain,1306719977295278083
AmparoV25,b'Leireee @LeireMo ???',Spain,1306719894227091459
cecilioa_,"b'@not_patri @spaget_boi Is this,,,, a collab?? ???'",Spain,1306719862035800067
nerea_flors,b'@aamaiax @99maariaa99 u knooooow',Spain,1306719831434067969
AlejandraVera16,"b'""Time is not your friend""'",Spain,1306719814828920833
adriiana1407,b'@miguel_depana impostorrrrrr',Spain,1306719812501024768
FVillustration,b'@lunamaria413 Thanks!!!!',Spain,1306719773028503555
mxriablanco,b'@luciarubio_30 same clown shit',Spain,1306719750089838594
wachitolamueve,b'dross',Spain,1306719579775930375
JonnieG21,b'That kit ? https://t.co/WpYosDr5xY',Spain,1306719511647858688
Nicoooo000,b'@nasare_rp A tope ??',Spain,1306719470950535168
nogues_edu,b'@vipqueflipas SUPER RT',Spain,1306719443976937472
ArkellRob,b'@PeterMarie17 @AlThomp @onelove6113 @NBCNews Here you go.\nWhat do you think?\n\nhttps://t.co/hO3nuuCvHl',Spain,1306719421952667650
JonnieG21,b'Dark Knight Rises plane scene is better https://t.co/ozhPKjNmuM',Spain,1306719370165575680
MinervadelRo1,b'WELL DAMM THAT FEELS NICE',Spain,1306719299927715843
rociogrande1,b'RT @Montesa_VAL: @ierrejon BECA BLACK \nDoctorcito de Bolivia',Spain,1306719129710272512
ESquaredOh,b'RT @Ray_Fkm: Something I observed after a few days using the rounded glasses ? https://t.co/M2dTAmGhK9',Spain,1306719026735976448
ArkellRob,"b""@veritascarl @onelove6113 @NBCNews Did they talk about forcing themselves into guys who, if they weren't famous, wo? https://t.co/nhzjTa6k9n""",Spain,1306718703304740864
miriammorello_,b'doy fe https://t.co/fpgMrXOtBJ',Spain,1306718671172141057
plazadeportiva_,"b'?? ?? #OpinionPD | Yunus en domingo, por Vicent Molins (@vicentmolins) https://t.co/hZDgoPkshR https://t.co/p0irgtchrY'",Spain,1306718584110972929
CosplayGamer,"b'RT @MeowthTheStarry: Non-FFXIV fans VS the FFXIV community upon hearing the term ""eikon"" to refer to the summons in the #FFXVI trailer. htt?'",Spain,1306718374278225926
serguvcf,b'@notaario Claroo;)',Spain,1306718247908192257
CarmenBenove,b'RT @sosaji01: amen??',Spain,1306718143012917250
SenriZeron,b'RT @Ray_Fkm: Something I observed after a few days using the rounded glasses ? https://t.co/M2dTAmGhK9',Spain,1306718044660609024
pazhernandez06,b'run cried the crawling',Spain,1306717992298909696
alejandra_f_s,b'RT @rubenhigueras_: mi novia.......... i wish',Spain,1306717984719876097
Mario10Gimenez,b'@valenciacf Firmen! https://t.co/EOOQjGrIwF',Spain,1306717830142996482
HarryBrimson,"b'RT @MeowthTheStarry: Non-FFXIV fans VS the FFXIV community upon hearing the term ""eikon"" to refer to the summons in the #FFXVI trailer. htt?'",Spain,1306717766179840002
fireKitsune_,"b""RT @NoeArtS: Hello! I was wondering if you could give RT to my commissions\n\nI'm about to start my psychological treatment and I need the mo?""",Spain,1306717679978455040
ArkellRob,b'@onelove6113 @Carring123 @NBCNews Mac is incapable of responding with reasoned arguments so relies on tried and tru? https://t.co/b3FJ3gddP7',Spain,1306717618292875264
EkkoYT,"b'@llennoco22 I mean ?lightning? as lightning in general, rims are only tips because blender octane have less options in empty lights section.'",Spain,1306717608029433857
Vince_Howard_11,b'@cachoo01 Buena feed',Spain,1306717598164410370
sosaji01,b'amen?? https://t.co/iqxMiyi4Cw',Spain,1306717549556531206
toniapelagica,"b'@notreallygeeky2 @earthssorcerer Totally,really beautiful and a joy,thanks for the video @earthssorcerer ?'",Spain,1306717499757604867
HelenaLoliKawai,"b""Goodnight everyone. I love you all very much. Today I have met new wonderful people. It's also great to meet people? https://t.co/9w6LQDXqnP""",Spain,1306717479612411904
teddyconner666,b'RT @Ray_Fkm: Something I observed after a few days using the rounded glasses ? https://t.co/M2dTAmGhK9',Spain,1306717393549430787
Mlz7122,b'RT @sanditon21: @arnaau_8 Hi! I?m from Spain too #Sanditon #SaveSanditon #SanditonPBS',Spain,1306717373626552321
MerezcoLaMuerte,"b'or, maybe, your next badger'",Spain,1306717327732494344
vtormo_99,b'@lmokh31 @EDMsounds @dvdmillan99 temAZOO',Spain,1306717306878406656
Clouser82,b'RT @MightyPolygon: #Relicta updated for #Steam!\n\n?New: Added widescreen support.\n?New: Added field of view controls.\n?Fixed: Minor improvem?',Spain,1306717176653647872
Krooth_,"b'RT @skum_f_k: a month and a half ago started and working on it only during my free time... here it is, the necron side of the Indomitus fin?'",Spain,1306717156537765888
shutuagireiki,"b'RT @MeowthTheStarry: Non-FFXIV fans VS the FFXIV community upon hearing the term ""eikon"" to refer to the summons in the #FFXVI trailer. htt?'",Spain,1306717098131980289
LauraChelva_,"b""Maybe Bring Me To Life or Call Me When You're Sober https://t.co/s6yfslllTi""",Spain,1306717093774196737
mew2heart,"b'RT @MeowthTheStarry: Non-FFXIV fans VS the FFXIV community upon hearing the term ""eikon"" to refer to the summons in the #FFXVI trailer. htt?'",Spain,1306717078905409542
BorjaNieve,"b""Thanks for the past, enjoy the moment, let's make sure we end it right.\n\nM.Jordan""",Spain,1306717075461869568
imandreayou,b'WHAT THE HELL https://t.co/MqS8mQm5Co',Spain,1306717055551516675
GhobadVLC,"b""Life is a one  offer, \ndon't waste it ...""",Spain,1306717031794978816
Tredain,b'RT @Ray_Fkm: Something I observed after a few days using the rounded glasses ? https://t.co/M2dTAmGhK9',Spain,1306716985535770629
edrax01,"b""@OhffsRyan @rikidella12 He don't go to sign the contact""",Spain,1306716953952825347
ArkellRob,"b'@_BAEkerMayfield @NBCNews Yet trump suddenly signing all of these ""deals"" with middle Eastern countries doesn\'t rai? https://t.co/5SFPobJyWf'",Spain,1306716934487052291
diselosamantha,b'Samantha - Espere Que Tornes (Lyric Video) https://t.co/as9ZC7G5ZI via @YouTube',Spain,1306716863850840066
andres_lpsg,b'Justin Bieber',Spain,1306716812386729992
q8fishing,"b""RT @Connectedboateu: Viking Ship 92. It's an impressive size, right?! ?? https://t.co/LH3TLwPFvj""",Spain,1306716729305903104
aitanetacuqueta,b'mis mom jeans ahora son skinny jeans ay',Spain,1306716723429740545
casaspoy,"b'Feliz Viernes!!!\n\nWith you, The Rolling Stones @RollingStones\n\n#StartMeUp\n\nhttps://t.co/NcUliV5BS3'",Spain,1306716692857466881
gxnzdenazaret,b'this vibes\n\nhttps://t.co/sfBRUdqY2A',Spain,1306716654374707200
tonimud,b'@EntidadOscuraOf @navedelmisterio @carmenporter_ Tele5???',Spain,1306716561810558976
finestportfolio,b'@Reuters Very interesting news. Good job @Reuters',Spain,1306716550641192962
alceeast_,b'one direction https://t.co/TJdsjxqGT0',Spain,1306716504755441665
TPitchart,b'@JayDlegend Depressed Bastard.\nAccurate',Spain,1306716419598569473
_Boooba,"b'RT @MeowthTheStarry: Non-FFXIV fans VS the FFXIV community upon hearing the term ""eikon"" to refer to the summons in the #FFXVI trailer. htt?'",Spain,1306716342154743809
porSamm,b'RT @diselosamantha: Ploreeee #EspereQueTornes',Spain,1306716295031853057
oldyelowbrickz,b'@davrp20 serving?',Spain,1306716124105633793
abeysaurus,b'Someone just casually setting up projection mapping in the middle of the night on The Palacio de las Artes Reina So? https://t.co/cVinOrrD7l',Spain,1306716090970583040
LorenaLawliet,b'@Dediier_ Justamente',Spain,1306716033743548418
PaterJoSky,b'Obvio. https://t.co/d1fO3TpFBu',Spain,1306716005918478336
