user,text,country,id
hhadadenieve,b'RT @pinkyjhyun: oh no https://t.co/EfrDlcpjIK',Sri Lanka,1306716775959146496
pinkyjhyun,b'oh no https://t.co/EfrDlcpjIK',Sri Lanka,1306714763121045506
_NotMikeWill,b'@fairyslutmuvaaa Does she just spend all day long talking shit?? She been up and down my tl and idek who tf she is',Sri Lanka,1306714123665801216
realhumansapien,b'@M_J_Schofield @stine_chase @alexstarbursts @MMAFighting @TWooodley Cause nothing says cringe like a dude with a pr? https://t.co/3ouCjpY6Po',Sri Lanka,1306712702996283392
beb0ne,b'watching indian tractor commercials just to feel something',Sri Lanka,1306711884431872001
pinkyjhyun,b'son posho https://t.co/9kqKMhVU28',Sri Lanka,1306710754918363136
cherrymndes,b'@historyxidols 1- Unsaid Emily\n2- Now or Never\n3- Edge of Great\n4- Wake Up\n5- Perfect Harmony \n6- Finally Free\n7- B? https://t.co/9aD7bvkVYK',Sri Lanka,1306710152599556101
_NotMikeWill,"b'@TrynnaKillMe @135Len @Khumohapi Bitch, I thought that was Future?s Child. Not you thinking of Loyal'",Sri Lanka,1306710132135526401
_NotMikeWill,b'@senae_destiny @avyxjukai @cellophanesgirl @desjavoo1 Who makes the rules because it?s a new one everyday??? Y?all? https://t.co/S70T0sbKxK',Sri Lanka,1306709061589766144
cherrymndes,b'@sweetsIwt to sim',Sri Lanka,1306708809461702660
jaelon___,b'I?m tryina go home tbh',Sri Lanka,1306708411774631941
cansadadmsok,b'RT @cherrymndes: my angels?? https://t.co/s3paxCKIYB',Sri Lanka,1306707306005049344
cherrymndes,b'@onlycanyonbrave amem??',Sri Lanka,1306704956582490112
andarianofogo,b'RT @cherrymndes: my angels?? https://t.co/s3paxCKIYB',Sri Lanka,1306699002629558273
_NotMikeWill,b'@senae_destiny @avyxjukai @cellophanesgirl @desjavoo1 Who tf do y?all really be policing who can say nigga and who? https://t.co/D2UV26OxPB',Sri Lanka,1306697085199187971
yasleclerc,b'RT @cherrymndes: my angels?? https://t.co/s3paxCKIYB',Sri Lanka,1306695359180288001
ziamstylez,b'RT @cherrymndes: my angels?? https://t.co/s3paxCKIYB',Sri Lanka,1306694661646491648
lorenabarbasso,b'RT @cherrymndes: my angels?? https://t.co/s3paxCKIYB',Sri Lanka,1306694280833044480
zgoldenl,b'RT @cherrymndes: my angels?? https://t.co/s3paxCKIYB',Sri Lanka,1306694268816326657
sweethouisx,b'RT @cherrymndes: my angels?? https://t.co/s3paxCKIYB',Sri Lanka,1306693641403019264
celestestylx,b'RT @cherrymndes: my angels?? https://t.co/s3paxCKIYB',Sri Lanka,1306693599652970496
cherrymndes,b'my angels?? https://t.co/s3paxCKIYB',Sri Lanka,1306693363274526720
cherrymndes,b'louis tomlinson: https://t.co/exBLtagmW5',Sri Lanka,1306691384884301825
sushicaee,b'every tribe will see your glory',Sri Lanka,1306685445066039297
ShehanSema,b'Great meeting @RobertJuhkam from @UNDPSriLanka We had a fruitful lengthy discussion on social empowerment and perso? https://t.co/TlByJv5BKr',Sri Lanka,1306685328313384961
year2039,b'@minermomo @akiravert U just said i smell.',Sri Lanka,1306683337331871744
sushicaee,b'@cyfggggg JUSME',Sri Lanka,1306682775957680128
cherrymndes,b'@cryptomuke youtube fia',Sri Lanka,1306673907152424962
cherrymndes,b'@cryptomuke alex',Sri Lanka,1306673533452419073
beb0ne,b'@stella_mccourry donal',Sri Lanka,1306666420957310978
year2039,b'@theydreams Rockie this is the worst thing thats ever happened to me I HATE CLAY',Sri Lanka,1306664672867876864
cherrymndes,b'@cobainfiles anna?',Sri Lanka,1306663872926027776
forlouis91,b'RT @cherrymndes: louis during little things; a thread https://t.co/DT619YIECD',Sri Lanka,1306658193054011397
ttheonlymanever,b'@vloneatl @glocky4kt Carti doesn?t release as much',Sri Lanka,1306652737682186247
Bindhya_Bn8,"b""RT @MayuriLuKa: ???The memories of today???\n??17th of September 2020?? \n???104???\n\n??? P'Mew IGS \n\n#MewSuppasit? #GulfKanawut https://t.co/?""",Sri Lanka,1306652039665999872
MayuriLuKa,"b""???The memories of today???\n??17th of September 2020?? \n???104???\n\n??? P'Mew IGS \n\n#MewSuppasit? #GulfKanawut https://t.co/hLAmIjcf75""",Sri Lanka,1306650576843755521
MayuriLuKa,"b""???The memories of today???\n??17th of September 2020?? \n???103???\n\n??? P'Mew IGS \n\n#MewSuppasit? #GulfKanawut https://t.co/6rNKF7UdTy""",Sri Lanka,1306650555800977409
FarwinSasna,b'@NazihaBanu Nice',Sri Lanka,1306649578809171969
fa00_1996,b'RT @MayuriLuKa: ???The memories of today???\n??17th of September 2020?? \n???102???\n\n???proothunwa IGS \n\n#MewSuppasit? #GulfKanawut https://t?',Sri Lanka,1306646877824266240
fa00_1996,b'RT @MayuriLuKa: ???The memories of today???\n??17th of September 2020?? \n???101???\n\n???https://t.co/uDun6DEcmI IGS \n\n#MewSuppasit? #GulfKana?',Sri Lanka,1306646863173636102
fa00_1996,b'RT @MayuriLuKa: ???The memories of today???\n??17th of September 2020?? \n???099???\n\n???monsterfon IGS \n\n#MewSuppasit? #GulfKanawut https://t?',Sri Lanka,1306646840620834818
fa00_1996,b'RT @MayuriLuKa: ???The memories of today???\n??17th of September 2020?? \n???098???\n\n???beer_siriphan\n\nhttps://t.co/0RiiLzyTNX\n\n#MewSuppasit??',Sri Lanka,1306646827463323649
year2039,b'i am .. making a mushroom .. with AIR DRY CLAY .. i even put on my bandana hehe',Sri Lanka,1306645547936354304
pebenda_do,b'@weirdboy2770 Weh tula i takde dengar any news lagi. I tak pernah pula like this so no cant help u cuz me too ?',Sri Lanka,1306644833113522178
rfdxei,b'@meeowki Slytherin gang?????',Sri Lanka,1306644617249484800
A79B97G97,b'RT @MayuriLuKa: ???The memories of today???\n??17th of September 2020?? \n???098???\n\n???beer_siriphan\n\nhttps://t.co/0RiiLzyTNX\n\n#MewSuppasit??',Sri Lanka,1306642375926784000
MayuriLuKa,b'???The memories of today???\n??17th of September 2020?? \n???102???\n\n???proothunwa IGS \n\n#MewSuppasit? #GulfKanawut https://t.co/3PtgtpQn3u',Sri Lanka,1306641253077979136
erishantsh,b'currently missin my boy',Sri Lanka,1306640917646856194
G3i5ha,b'RT @MayuriLuKa: ???The memories of today???\n??17th of September 2020?? \n???101???\n\n???https://t.co/uDun6DEcmI IGS \n\n#MewSuppasit? #GulfKana?',Sri Lanka,1306640771005648896
G3i5ha,b'RT @MayuriLuKa: ???The memories of today???\n??17th of September 2020?? \n???099???\n\n???monsterfon IGS \n\n#MewSuppasit? #GulfKanawut https://t?',Sri Lanka,1306640447431876608
MayuriLuKa,b'???The memories of today???\n??17th of September 2020?? \n???101???\n\n???https://t.co/uDun6DEcmI IGS \n\n#MewSuppasit?? https://t.co/7XxSq6UFNf',Sri Lanka,1306640276274905089
MayuriLuKa,b'???The memories of today???\n??17th of September 2020?? \n???100???\n\n???w.patiwat\n\n#MewSuppasit? #GulfKanawut https://t.co/RuVU9V9U3B',Sri Lanka,1306640232226324480
MayuriLuKa,b'???The memories of today???\n??17th of September 2020?? \n???099???\n\n???monsterfon IGS \n\n#MewSuppasit? #GulfKanawut https://t.co/qIOicu1l4v',Sri Lanka,1306639322880200704
VMMenan,b'@iChitru Got it?',Sri Lanka,1306639064947277824
Pragash019,b'RT @VMMenan: #IPL2020 \n#theme_music \n#CSK #MI #KKR #SRH #RR #RCB \nEditing ??? https://t.co/exIjpuGW83',Sri Lanka,1306638754233237504
milicopito,b'RT @MayuriLuKa: ???The memories of today???\n??17th of September 2020?? \n???098???\n\n???beer_siriphan\n\nhttps://t.co/0RiiLzyTNX\n\n#MewSuppasit??',Sri Lanka,1306638541267636224
MayuriLuKa,b'???The memories of today???\n??17th of September 2020?? \n???098???\n\n???beer_siriphan\n\nhttps://t.co/0RiiLzyTNX? https://t.co/FaLNnCjG9g',Sri Lanka,1306638209300930561
Mr_ShaA07,b'RT @VMMenan: #IPL2020 \n#theme_music \n#CSK #MI #KKR #SRH #RR #RCB \nEditing ??? https://t.co/exIjpuGW83',Sri Lanka,1306638094184017920
MayuriLuKa,b'@fangirljoyyyy You most welcome dear..???????',Sri Lanka,1306638032418734083
LoochMcGooch,b'play\n\nstation\n\nquintuple',Sri Lanka,1306637092706029573
beb0ne,b'@Empty_Leaf666 @mktjjs ok kelly',Sri Lanka,1306636593793585152
beb0ne,b'@Empty_Leaf666 @mktjjs kelvin',Sri Lanka,1306636422120706048
beb0ne,b'@Empty_Leaf666 @mktjjs the calvinator',Sri Lanka,1306636247872532483
fa00_1996,b'RT @MayuriLuKa: ???The memories of today???\n??17th of September 2020?? \n???096???\n\n???@iambonie\n\n#MewSuppasit? #GulfKanawut https://t.co/eV?',Sri Lanka,1306633753465368586
beb0ne,b'@Empty_Leaf666 @mktjjs calVin diesel',Sri Lanka,1306632434646122498
RAVIRAJ99130088,b'@VarshaBollamma  hi  I am your biggest fan in this world',Sri Lanka,1306632082546814983
yoongikimii,b'goodnight moots!! hope u had a nice day!&lt;3',Sri Lanka,1306632014485889024
iamvijaymannai,b'RT @VMMenan: #IPL2020 \n#theme_music \n#CSK #MI #KKR #SRH #RR #RCB \nEditing ??? https://t.co/exIjpuGW83',Sri Lanka,1306631794817605632
beb0ne,b'@Empty_Leaf666 @mktjjs shut up call dude shes not supposed to know',Sri Lanka,1306631513891536898
beb0ne,b'@stellas_priv so be it',Sri Lanka,1306631265366487041
beb0ne,b'@mktjjs mother',Sri Lanka,1306630590339444736
beb0ne,b'@stellas_priv man do I really have to block you',Sri Lanka,1306630513902444553
beb0ne,"b'@stellas_priv I am my own onceler, looking for a lorax'",Sri Lanka,1306630278660620288
MayuriLuKa,"b""???The memories of today???\n??17th of September 2020?? \n???097???\n\n???P'Mew IGS \n\n#MewSuppasit? #GulfKanawut https://t.co/qfmMtU0gGv""",Sri Lanka,1306629319939170304
mjysh01,b'RT @MayuriLuKa: ???The memories of today???\n??17th of September 2020?? \n???095???\n\n???qrstamm TT\n\nhttps://t.co/zmUIf7aVbo\n\n#MewSuppasit? #G?',Sri Lanka,1306628922201661441
eMZgv4GMQOLfEJs,b'RT @MayuriLuKa: ???The memories of today???\n??17th of September 2020?? \n???077???\n\n???evesterst.jpg IG \n\nhttps://t.co/AooISumZ5H\n\n#MewSuppa?',Sri Lanka,1306628490075058176
