user,text,country,id
GeraldSono,b'@PaigeBMacdonald Pathetic',Swaziland,1306720475855417344
Cyril_M08,b'RT @TiphoShabalala: #TiniTwitter \n1/2\nThe below job postings were published on the Times of Swaziland and The Swazi Observer on the 17th Se?',Swaziland,1306719998623219720
TeddyCaptain,b'Cami on The Originals? https://t.co/PG5IJVfNi7',Swaziland,1306719732415037447
SIYABONGA2019,"b""@Black_RoseSD That's so unfortunate Mhlanti""",Swaziland,1306719048798007301
GeraldSono,b'@Tofo_A @phume22 I hear you clearly. Indeed you still need their support. ?? Udjust your spending though. ???? Good luck hope you get it ??',Swaziland,1306718587667853314
karinassy,b'@padelpops em nice',Swaziland,1306717294391820288
GeraldSono,b'@sarelkimagesx @ivin_hlomoney @Lindoku89640427 @Misst_Thembs @Tebza_NC You see again. Reading the bible upside down? https://t.co/6DzOpd3iuD',Swaziland,1306717289874706433
melomdluli,b'@MTNSwaziland is there a way I can opt out of this? Not interested in having my numbers listed https://t.co/Vq32dad2U4',Swaziland,1306716851909652480
karinassy,b'@candraaditiyaa_ em nice',Swaziland,1306716734275989505
S__Zwane,b'Proudly! https://t.co/Rw6E2PrVGz',Swaziland,1306716328762290176
thequeenbreeyo,b'@KUWTK @RaineRoller I?ll just ask my dad how this episode went',Swaziland,1306716256582733824
karinassy,b'@lushfvull tul cia',Swaziland,1306715951186862080
thequeenbreeyo,b'CARDI DIDNT CAUSE HER MARRIAGE TO FAIL THE HOMIE BOI WAS CHEATING. CHEATING. SAY IT W ME WHOLE ASS MAN MARRIED W KI? https://t.co/0cHAPEJVx0',Swaziland,1306715710362656768
melomdluli,b'@Mkhuboni_98Chyn @MrHandsome_ZA Welcome to the club mate',Swaziland,1306715356141170689
thequeenbreeyo,b'@nostalgicuItra Cancer/Gemini cusp Breanna',Swaziland,1306715309194317825
sandilemakhayan,b'@AdvoBarryRoux Nd he left then that thing is now history',Swaziland,1306714230943604736
_sthandiwe,b'RT @TiphoShabalala: #TiniTwitter \n1/2\nThe below job postings were published on the Times of Swaziland and The Swazi Observer on the 17th Se?',Swaziland,1306713012565356545
lemdzabu,b'RT @TiphoShabalala: #TiniTwitter \n1/2\nThe below job postings were published on the Times of Swaziland and The Swazi Observer on the 17th Se?',Swaziland,1306710944110858240
MkhoDlamini,"b'RT @realkingterry: To everyone struggling with their bodies, please, TAKE YOUR TIME, RUN YOUR RACE and be nice to yourself. Also if you nee?'",Swaziland,1306709633965404160
SimoShangase,b'RT @Mnesh07996631: Wht a nyc track wht is the name of the song',Swaziland,1306709523504209921
realkingterry,"b""Listening to my last project Before The Reign, I can easily say it's a beautiful E.P.""",Swaziland,1306709335662383104
boksville_SD,b'@2019AFRICA Alright - @DjGanyani',Swaziland,1306709262735945728
realdrseth1,b'RT @TiphoShabalala: #TiniTwitter \n1/2\nThe below job postings were published on the Times of Swaziland and The Swazi Observer on the 17th Se?',Swaziland,1306708818655670280
escowrldwide,"b'RT @Shaf_Vinho: All I see is unanswered texts, poor communication and high expectations of what a relationship really should be. Headaches?'",Swaziland,1306708574538788869
MkhoDlamini,b'RT @TiphoShabalala: #TiniTwitter \n2/2\nJob postings that were published on the 17th Sep https://t.co/Eo7mXG8NQ6',Swaziland,1306708096161656836
elphus_mk,b'The best video ever ?? ? https://t.co/vxoOzIKdLA',Swaziland,1306707893358649346
TjBanda3,"b'RT @Indlovu_lencane: So for the whole week, 7 million?'",Swaziland,1306707877479018497
MkhoDlamini,b'RT @TiphoShabalala: #TiniTwitter \n1/2\nThe below job postings were published on the Times of Swaziland and The Swazi Observer on the 17th Se?',Swaziland,1306707548997922819
elphus_mk,"b'@Retired_Makoti @AsekaNdaba When the truth comes out, ucinisile nje Lomjitha ?'",Swaziland,1306707073976152066
KKuhlase,b'RT @TiphoShabalala: #TiniTwitter \n2/2\nJob postings that were published on the 17th Sep https://t.co/Eo7mXG8NQ6',Swaziland,1306706477860745221
LiswarhM,b'RT @TiphoShabalala: #TiniTwitter \n2/2\nJob postings that were published on the 17th Sep https://t.co/Eo7mXG8NQ6',Swaziland,1306705422200573959
LiswarhM,b'RT @TiphoShabalala: #TiniTwitter \n1/2\nThe below job postings were published on the Times of Swaziland and The Swazi Observer on the 17th Se?',Swaziland,1306705410569756672
OMabhengeta,b'RT @TiphoShabalala: #TiniTwitter \n1/2\nThe below job postings were published on the Times of Swaziland and The Swazi Observer on the 17th Se?',Swaziland,1306704944314155010
GamaHlobs,"b""@zinny_chukwu @fitlikeozo Let's hope for the best oh Lord help us??""",Swaziland,1306702054782578688
GamaHlobs,b'@MarcXabiso In this world???',Swaziland,1306701485309390848
GeraldSono,"b'@sarelkimagesx @ivin_hlomoney @Lindoku89640427 @Misst_Thembs @Tebza_NC ""Wait till these people"".Which people?If u r? https://t.co/Wwp0bWvxS0'",Swaziland,1306701461309534210
_vumimavimbela,b'RT @TiphoShabalala: #TiniTwitter \n2/2\nJob postings that were published on the 17th Sep https://t.co/Eo7mXG8NQ6',Swaziland,1306701356187742210
_vumimavimbela,b'RT @TiphoShabalala: #TiniTwitter \n1/2\nThe below job postings were published on the Times of Swaziland and The Swazi Observer on the 17th Se?',Swaziland,1306701313774882817
sam_longwane,b'RT @TiphoShabalala: #TiniTwitter \n1/2\nThe below job postings were published on the Times of Swaziland and The Swazi Observer on the 17th Se?',Swaziland,1306701206958542849
qwabe_lindelwa,b'RT @TiphoShabalala: #TiniTwitter \n2/2\nJob postings that were published on the 17th Sep https://t.co/Eo7mXG8NQ6',Swaziland,1306700904792551424
