user,text,country,id
CPostcapitalism,"b""RT @YakovPettersson: It is weird to me how people don't want to call Trump a fascist. Again, the reduction of fascism to specifically Nazi?""",Sweden,1306720465424179201
YakovPettersson,b'It is incredibly funny to me that all these pitiful servants of Moloch are starting podcasts now. Who would possibly listen to them.',Sweden,1306720216257310733
YakovPettersson,"b'Seen people laugh about this, but pedophile elites only start podcasts when they are incredibly distressed https://t.co/j2CCoeqSpl'",Sweden,1306719721035890688
c_lerno,b'@micke_lindquist Den perfekta leksaken: ?Jesus is back from the dead.... and he?s pissed off....? https://t.co/trpYTfcotG',Sweden,1306719199314808832
yosh_se,"b'@DangerMango Hah, I have a pink bunny just like that ?'",Sweden,1306718196586733569
yosh_se,"b'@repkord Easy, My little pony.'",Sweden,1306717616141205508
yosh_se,b'@kosamari Sweden had those services at the post office too before it was privatized. Have fond memories of getting? https://t.co/m8r3FRk1O4',Sweden,1306717346015436801
Elmomeister,b'@ErikStenborg Ballz',Sweden,1306716490616406017
UncleTito0610,b'RT @JonasEklundh: Inspirational words in my workspace from @donttrythis https://t.co/jsD4D55C2Y',Sweden,1306715940877250560
Ragnell,"b""RT @YakovPettersson: It is weird to me how people don't want to call Trump a fascist. Again, the reduction of fascism to specifically Nazi?""",Sweden,1306715092583677952
thim_str,b'@FischLoco @kellygracexo You redid it now? Nice F over the pc',Sweden,1306711414023823365
Jocke_And,b'@juliabjers Phew.',Sweden,1306709780258525186
GamerSkeletal,"b""@DaRealAntToon Nah I'm good""",Sweden,1306708557023379457
friarcasey,"b""RT @YakovPettersson: I also care about the world being enslaved to the Great Old One, The Sleeper of N'kai,\nThe Toad-God Tsathoggua, but ri?""",Sweden,1306708178931978240
klausisanangel,b'it?s so pretty ? https://t.co/prc2awgcuW',Sweden,1306707212035915776
zhinxy_vs_media,"b""RT @YakovPettersson: It is weird to me how people don't want to call Trump a fascist. Again, the reduction of fascism to specifically Nazi?""",Sweden,1306706960113377281
cheer1e,"b""RT @YakovPettersson: It is weird to me how people don't want to call Trump a fascist. Again, the reduction of fascism to specifically Nazi?""",Sweden,1306706711210651648
henning_lars,b'@ENYGO_official @IJGCfellows @GynMe4 @ESGO_society Also intresting methodology to include cancer abdominis-diagnosi? https://t.co/pTRK994nZn',Sweden,1306706299862880257
Vascooo_Gama,b'RT @WPSecScanner: ?? 4 Compelling Reasons Why WordPress is Secure ? Read more here ?? https://t.co/HbfUpKWoE4 https://t.co/rzBBO1OXoo',Sweden,1306705383206125571
klausisanangel,b'@NR5HARGREEVES where?s this interview from?',Sweden,1306705173943848961
