user,text,country,id
thirdbrainfx,"b'we love and send kisses to @phinnyisraelceo, beautifull #model, thanks for your(s) photo(s) !, check our #trading t? https://t.co/xheReFkaqN'",Switzerland,1306726132411256834
Jayyy_son_,b'RT @ChampionsLeague: ?? #UEFAawards nominees incoming... https://t.co/ziAsnDJyIn',Switzerland,1306726122034528261
Mary32318335,"b'RT @WorldPlayersUtd: .@BrendanSchwab ?We must all act, with deep respect for the athletes and people of Iran, to deliver justice for Navid,?'",Switzerland,1306726120763600896
TheRoPix,b'THEVIE RADIO https://t.co/NFChk9qmBt',Switzerland,1306726005059522565
albadee85,b'RT @EuropaLeague: ? NOMINEES: 2019/20 #UEL Player of the Season ?\n\n? @RomeluLukaku9 \n? @Ever10Banega\n? @B_Fernandes8 \n \n?? #UEFAawards winn?',Switzerland,1306725952609759233
christyceci2,b'RT @ChampionsLeague: ? Best Chelsea signing this summer?\n\n1? Thiago Silva\n2? Kai Havertz\n3? Timo Werner\n4? Hakim Ziyech\n5? Ben Chilwell\n6??',Switzerland,1306725939330588672
thirdbrainfx,"b'#thirdbrainfx is really the strategy to follow now with  #GBPNZD , #profit : 573 pips, 20 trades.,MaxDD :-1120,? https://t.co/J53Y8vVJ2h'",Switzerland,1306725880207732737
thirdbrainfx,"b'Check all here --&gt; https://t.co/S1I0bDpMr2 \nOn #Kraken #DASH to #EUR -- &gt; 61.999, volume --&gt; 7926 \nOn #Livecoin? https://t.co/0T1BuA4kyw'",Switzerland,1306725879985340418
GILDA39076914,"b'RT @uniglobalunion: ""The horrific execution of an athlete cannot be without consequence or justice"" says @WorldPlayersUtd as it calls on in?'",Switzerland,1306725879935008768
rafeekwazza,b'RT @ChampionsLeague: ?? Neymar. Mbapp?. Lewandowski. ??\n\nWho was your 2019/20 #UCL Forward of the Season? \n\n#UEFAawards',Switzerland,1306725860108455936
TwoKev,b'Damso x Fally ??????? #QALF',Switzerland,1306725804332773378
Weedeo2,"b'RT @uniglobalunion: ""The horrific execution of an athlete cannot be without consequence or justice"" says @WorldPlayersUtd as it calls on in?'",Switzerland,1306725770551791616
swisscryptoblo1,b'Swiss Arm of Russian Bank Sberbank Partners With Komgo Blockchain Platform - Crypto Economy Swiss Arm of Russian Ba? https://t.co/E9izCfQtzB',Switzerland,1306725763777925120
EsoretteBot,b'bot-genre',Switzerland,1306725712846639107
Wannyxxx1,b'RT @ChampionsLeague: ?? Messi (2) &amp; Coutinho on target in Barcelona friendly win ?\n\nExcited to see them combine in the #UCL? https://t.co/j?',Switzerland,1306725669657808896
microlympics,b'RT @Olympics: Now THIS is how you train! ???\n\n(?: IG/zeina.boxer) https://t.co/qN04Hnugjn',Switzerland,1306725643653181445
dylanparra55,b'RT @FrontPsychol: New Research: Molecules of Silence: Effects of Meditation on Gene Expression and Epigenetics https://t.co/ZWRdFQgINJ #Psy?',Switzerland,1306725612078407681
Ebenovic,b'RT @EuropaLeague: Who is your 2019/20 #UEL Player of the Season? ?\n\n#UEFAawards',Switzerland,1306725558697553920
SaberOujani,"b'RT @BrendanSchwab: ""The horrific execution of an athlete cannot be without consequence or justice"". @WorldPlayersUtd calls on international?'",Switzerland,1306725548962406402
sal2012sal,b'RT @EuropaLeague: Who is your 2019/20 #UEL Player of the Season? ?\n\n#UEFAawards',Switzerland,1306725527005343751
Deen_______Yaro,b'RT @ChampionsLeague: ?? Neymar. Mbapp?. Lewandowski. ??\n\nWho was your 2019/20 #UCL Forward of the Season? \n\n#UEFAawards',Switzerland,1306725521930227713
Yehiaahmedd,b'RT @ChampionsLeague: ? NOMINEES: 2019/20 Forward of the Season ?\n\n? @lewy_official \n? @KMbappe \n? @neymarjr  \n \n?? #UEFAawards winners anno?',Switzerland,1306725505320837121
Yehiaahmedd,b'RT @ChampionsLeague: ? NOMINEES: 2019/20 Midfielder of the Season ?\n\n? @esmuellert_  \n? @Thiago6 \n? @DeBruyneKev \n \n?? #UEFAawards winners?',Switzerland,1306725488690376706
Anushkajephson,b'RT @EuropaLeague: ? NOMINEES: 2019/20 #UEL Player of the Season ?\n\n? @RomeluLukaku9 \n? @Ever10Banega\n? @B_Fernandes8 \n \n?? #UEFAawards winn?',Switzerland,1306725488212062209
Yehiaahmedd,b'RT @ChampionsLeague: ? NOMINEES: 2019/20 Defender of the Season ?\n\n? @David_Alaba \n? @AlphonsoDavies \n? Joshua Kimmich\n \n?? #UEFAawards win?',Switzerland,1306725474836635649
Yehiaahmedd,b'RT @ChampionsLeague: ? NOMINEES: 2019/20 #UCL Goalkeeper of the Season ?\n\n? @NavasKeylor \n? @Manuel_Neuer \n? Jan Oblak\n \n?? #UEFAawards win?',Switzerland,1306725464707301376
OtiAtakay,b'RT @ChampionsLeague: ? Best Chelsea signing this summer?\n\n1? Thiago Silva\n2? Kai Havertz\n3? Timo Werner\n4? Hakim Ziyech\n5? Ben Chilwell\n6??',Switzerland,1306725418255495168
majoie888,b'RT @Hublot: #BigBangIntegral Titanium. The first Big Bang with an integrated titanium bracelet: a unique timepiece for a natural fit on you?',Switzerland,1306725392502452226
chino199804,b'RT @ChampionsLeague: ? NOMINEES: 2019/20 Midfielder of the Season ?\n\n? @esmuellert_  \n? @Thiago6 \n? @DeBruyneKev \n \n?? #UEFAawards winners?',Switzerland,1306725386882084866
ufohunter13,"b'RT @uniglobalunion: ""The horrific execution of an athlete cannot be without consequence or justice"" says @WorldPlayersUtd as it calls on in?'",Switzerland,1306725305479041024
AhmedKabaraini,b'RT @ChampionsLeague: ? NOMINEES: 2019/20 #UCL Goalkeeper of the Season ?\n\n? @NavasKeylor \n? @Manuel_Neuer \n? Jan Oblak\n \n?? #UEFAawards win?',Switzerland,1306725296482246656
BamonteRodrigo,b'RT @ChampionsLeague: ?? Neymar. Mbapp?. Lewandowski. ??\n\nWho was your 2019/20 #UCL Forward of the Season? \n\n#UEFAawards',Switzerland,1306725252366503939
