user,text,country,id
vedia_lupae,b'@scarfofsilver Huff!',Trinidad and Tobago,1306726212241367042
_Hankinson,b'@LilNasX We need @ParkerKitHill to do a photoshoot with ya.',Trinidad and Tobago,1306726205551521799
America19931424,"b""Sen. Ron Johnson won't travel with Trump after exposure to individual who tested positive for Covid - God is Good -? https://t.co/rJULPsawDA""",Trinidad and Tobago,1306726190632366081
nvrnormalnights,b'@reggiewebber texting thing ?',Trinidad and Tobago,1306726189839585282
mariamaaminaa,b'RT @ImKaybomb: all water does NOT taste the same',Trinidad and Tobago,1306726171565010948
TonyTon3x,"b""@babybear_king @Pikaflux Since you doin that I'll work on a masterpiece for the next one""",Trinidad and Tobago,1306726171426648068
HollyhockCraft,"b'RT @jasminchua: ""We know, for instance, that special filters attached to washing machines can stop 90 percent of microfibers from flowing o?'",Trinidad and Tobago,1306726141785501696
JosephSinss,"b'RT @validlee: don?t rush it, great things take time.'",Trinidad and Tobago,1306726139730296832
QuietObserver14,"b""@peeeeecenow @MeghanMcCain You should remain silent. You really should. Your Grand Old Party hasn't done one f'ing? https://t.co/O2heQugNdU""",Trinidad and Tobago,1306726112773406720
tpjeddy,b'@seanhannity A controversial guideline saying people without Covid-19 symptoms didn?t need to get tested for the vi? https://t.co/upVzr9poub',Trinidad and Tobago,1306726104082927617
__jobailey,"b'RT @validlee: don?t rush it, great things take time.'",Trinidad and Tobago,1306726095211900928
simmilarly,b'RT @netanya_flores: don?t forget that professors and teachers are also experiencing isolation with this stay at home lifestyle now. turning?',Trinidad and Tobago,1306726091097280513
NancyWheaton5,b'@SiriusBShaman A chance to be a mother?',Trinidad and Tobago,1306726089335746560
vcarli_,b'@SoPoisoned pretty ass ??',Trinidad and Tobago,1306726084403236864
NIGHTBOMBR,b'Warzone with tha squad! https://t.co/amVjKlyRXq @Reyy92X @Slangshotz @itsmediana @Guney_Ross @Shawnydotts? https://t.co/mrcZwWIjTs',Trinidad and Tobago,1306726075905572864
allthedamnvamps,b'Battin? a thousand today https://t.co/P1ZjmBvw55',Trinidad and Tobago,1306726070239010816
TheLifeOfStacey,"b'RT @validlee: don?t rush it, great things take time.'",Trinidad and Tobago,1306726059749060612
xconratbastard,"b'@AngrierWHStaff Marsha in the Senate is amusing, but Roy Moore would have been the apogee of stupidity'",Trinidad and Tobago,1306726057907810305
CarlaBridglal,b'@Siddel_R *heads to the store to get some*',Trinidad and Tobago,1306726046524469249
AnnaMcDonnell9,"b'Yes I do he\'s right \n\n""They who can give up essential liberty to obtain a little temporary safety deserve neither liberty nor safety.? ...'",Trinidad and Tobago,1306726038110711809
lxtzzz,"b'RT @WilkowMajority: There were two white men in #MAGA hats carrying bleach and a noose on the streets of Naperville, IL at 2am.....They bea?'",Trinidad and Tobago,1306726019806695424
Flecks123,b'u ever lose interest because you felt unwanted???',Trinidad and Tobago,1306726014173810695
Nadool,b'@TheDiamondMLB @TalkinYanks Well shit',Trinidad and Tobago,1306726011728465925
aryanatalia_,"b'RT @validlee: don?t rush it, great things take time.'",Trinidad and Tobago,1306726010751156226
PaladinOfNight,b'@OfHeroine She has that effect on him.',Trinidad and Tobago,1306726007768924160
The_Tech_Lady,b'@mrnesi @clever @sherder23 @anafimerav @TheConnectedEdu @alicekeeler @breicher @dgoble2001 @RandallTomes1? https://t.co/TzHwzFfIE2',Trinidad and Tobago,1306725997975408640
amjmjrm,"b'@LillianSnider3 @stillgray Who knows where this is, but jazz than Molotov cocktails is the way to go. Bring on the saxophone.'",Trinidad and Tobago,1306725996050210818
LeMistralWind,b'RT @deanna1098: @_ReaalAmerican_ @politvidchannel The people are sick of this @SpeakerPelosi @RepSherrill arrest him already - Congress sho?',Trinidad and Tobago,1306725993118339072
