user,text,country,id
_eceates,b'Only real ones dont change with time',Turkey,1306726016937848833
emreotcuoglu,b'Wait for your time..',Turkey,1306725929348222976
ilknurrarslannn,b'The sign                       The face https://t.co/6qspCPwt0z https://t.co/wiPbpCEdQE',Turkey,1306725554188623873
nolucakhalim,b'@bosverbeyz your mom pat pat',Turkey,1306724270207381513
Fate57820617,b'@okay_karacan Dedin!!',Turkey,1306724186489073669
gaugler_umut,b'Come hangout with me on #BIGOLIVE https://t.co/P014U9raQL https://t.co/aInCh4QZXF',Turkey,1306724081069363200
sinanisler,b'@AMDRyzen  and @nvidia works together perfectly... #b3d #optix https://t.co/xviSlZHVqF',Turkey,1306723709659623424
____lavinya____,b'im fuck of the same cycles',Turkey,1306723129822240769
canaglagul,b'Ah be abi... https://t.co/pivOaLGqTf',Turkey,1306722891354996738
silaagurbet_,"b""@Acdan5 Same:')""",Turkey,1306722276235259906
simgeligeceler,b'@bicerrtt Gnme f',Turkey,1306721231077625857
simgeligeceler,b'@bicerrtt Mant',Turkey,1306721222236004358
simgeligeceler,b'@bicerrtt Mgfen ye',Turkey,1306721042832994309
simgeeew,b'@aysegulcicek082 ?g premses',Turkey,1306720996628541441
Hasan10792013,b'@EvliCiftt10 live:.cid.40ab0d0cdc6284a5',Turkey,1306720616066830343
bicerrtt,b'DNS?m d',Turkey,1306720261186695168
ezgisiztasasiz,"b""@kemalkba loven't""",Turkey,1306719575007023110
nolucakhalim,b'break me down\nbreak my spirit',Turkey,1306717938393718787
elifdmrakdeniz,b'@NSezer63 Offf evet',Turkey,1306716985678594050
Kwowatte,b'@kadinefendizade Evet ?',Turkey,1306716419766312962
nimeetaydn,b'@_TheNotoriouss @chery_sh @danlabilic Ah edge ah!',Turkey,1306716350874816513
RukiyeYeofc,b'@fransizmatara Evet',Turkey,1306716085929082881
RukiyeYeofc,b'@fransizmatara Evet:)',Turkey,1306715843326246916
gokhansaler,b'@sportenquiz Henry',Turkey,1306715697767161859
dilarademirr0,b'@gercekacilar_ Aga beee ?',Turkey,1306714699082465281
Cennett_dogan,b'@deadhoppe7 @vevoDuman True',Turkey,1306713982372323328
fv_smyye,b'@nebevihareket Amin...',Turkey,1306713341524619264
ttugcebirmec,b'Amin https://t.co/cvmQw7L7kv',Turkey,1306713267331620865
Betuss0,b'@mahirdass1903 Manit bul',Turkey,1306712643877646338
caglafrommars,b'Item drop when u kill me https://t.co/QksJyfwDBw https://t.co/S2oFRWq4wG',Turkey,1306712400050163714
heteroncel,"b'As we forgive for lovee\nBut we cannot pull through\nIf we cannot forgive for our tribute,true lovee\nPAAAAAAAAAAAIIII? https://t.co/zDd7WyCFst'",Turkey,1306712074006007808
ercument_t,b'@Lukeddis1 Welcome to twitter world ezoo',Turkey,1306711099371401216
_muliervero,b'@hopeefful @muzeyyenyildirm Beennn ??',Turkey,1306710724077641745
BigBrainSB,b'@Sjakktrekk Go to bed',Turkey,1306710296904560642
danrovalto,b'@jeanval85337040 @Vayosp @Boollews @cynaegeirus I hope good bless desperate greeks',Turkey,1306710138284380161
danrovalto,b'@jeanval85337040 @Vayosp @Boollews @cynaegeirus An event or an exception cannot change the truth.I will give you a? https://t.co/wIJyNNAxNr',Turkey,1306709699056861186
danrovalto,"b""@jeanval85337040 @Vayosp @Boollews @cynaegeirus Look at me cake. I forgot apologise for this. Greek's cake&gt;US Army have fun lol""",Turkey,1306708679400529921
danrovalto,"b'@PGrigorakis @edipgenc @cynaegeirus We already do this. On our side, we are researching, training, fishing...And yo? https://t.co/i6pJvYe4Sf'",Turkey,1306708193993789441
simgeeew,b'@aysegulcicek082 Premses ne aq',Turkey,1306708064473616395
mertcicektenn,b'@alprnokur Sakin ol champ...',Turkey,1306707562218303493
danrovalto,b'@jeanval85337040 @Vayosp @Boollews @cynaegeirus even syrtaki for you better than f22',Turkey,1306707325206626304
Polat210101,"b""@Del_Ryp @Ripple @vidyamani I don't expect it to fly like crazy, it's better and healthier if it came out slowly, b? https://t.co/Wu9B4IR4ih""",Turkey,1306706780781764608
uygaratms,b'@msutarslan Hatun',Turkey,1306706700137910272
xcinarjk,b'mood https://t.co/KaQfLEX8xt',Turkey,1306706230363250688
danrovalto,b'@jeanval85337040 @Vayosp @Boollews @cynaegeirus Oovv thank you for information. I can understand now. Rafale&gt;F22 cl? https://t.co/ugd6Vjztpg',Turkey,1306706060774965250
baris_bozdg,b'@realDonaldTrump Disloyal: A Memoir: The True Story of the Former Personal Attorney to President Donald J. Trump\nhttps://t.co/ZzQ5uXDhQD',Turkey,1306705866800984066
danrovalto,"b'@Vayosp @jeanval85337040 @Boollews @cynaegeirus War is won by what is at hand, not by what is dreamed. Success to y? https://t.co/YSITnCZnmx'",Turkey,1306705597912485888
atakanturgutben,b'Thor?s day https://t.co/6GioAmxAt5',Turkey,1306704583981490177
rasyonalistkaan,b'@CetrouzOfficial @Transformice oh good job !',Turkey,1306704413239709702
danrovalto,"b'@PGrigorakis @edipgenc @cynaegeirus """"I trust the General Staff.If the national guard needs it,perhaps to shoot at? https://t.co/3KCs2JPE3l'",Turkey,1306704232725254144
ICB1940,b'Mood. #picemiyeti https://t.co/BnA7W8oSRO',Turkey,1306703776611434498
ozgelense,"b""while you're trying to survive\nlife is about to kill you\nnananananana nananana""",Turkey,1306701339607666688
enescck1,b'@denizgibiyimm enessckk',Turkey,1306700496237985792
sinanisler,b'@unity3d @DroneSwarmGame crazy...',Turkey,1306700301479616514
sinanisler,b'@DroneSwarmGame i am interested please send me a key for letsplay when it is out. &lt;3',Turkey,1306700228117102597
danrovalto,"b""@PGrigorakis @edipgenc @cynaegeirus You can't answer and you won't. You don't know anything about military or agree? https://t.co/VpRx84cuHB""",Turkey,1306700221901164544
SyriaMohmed,b'@TeamYouTube Is it taking a long time',Turkey,1306699370314829832
danrovalto,b'@Vayosp @jeanval85337040 @Boollews @cynaegeirus Ok  hellenicairforce is the best rafale&gt;f15x also &gt;f22 you are the? https://t.co/av1UJ95SPw',Turkey,1306699354359685120
simgeeew,b'@tugcecaakir @_muhdurmazer Neyse',Turkey,1306699070107521026
Revolaaa,b'G-dick',Turkey,1306698571513835523
uygarcbkk,b'@gizeemuraal yeapp',Turkey,1306698460561846275
morgkafa,b'@bed__baht Kimeee',Turkey,1306697555976347650
baris_bozdg,b'@ESPNNBA @nbaoncampus Disloyal: A Memoir: The True Story of the Former Personal Attorney to President Donald J. Tru? https://t.co/jDlJT5zQDI',Turkey,1306697256570171392
Solohtolz,b'RT @FyngalP: @Solohtolz @TanimolaKolade @Debiwumi @radiocast_ng @Obabykpankan @Voicefm899 @OrdegaF @NGSuper_Falcons I thank you well well i?',Turkey,1306697146121547777
danrovalto,"b""@PGrigorakis @edipgenc @cynaegeirus I wanna ask you again.Please anwser the question. It's not so hard, it's simple? https://t.co/Ct1Kfmwo1r""",Turkey,1306696530565443585
fuckinbetul,b'@addystuartt mood aq',Turkey,1306696512316071936
Gulsahmadenli01,b'@aysenurr_klyc @iam1zeyy Hi baby',Turkey,1306696113416736770
yusufcanevsen,"b""yesn't""",Turkey,1306696008399818754
Gulsahmadenli01,b'@iam1zeyy Hi girl',Turkey,1306695733056282624
danrovalto,b'@Vayosp @jeanval85337040 @Boollews @cynaegeirus Dude when I answer you are scared and running. Why? https://t.co/MZHAofo8EA',Turkey,1306695403585376257
AhmetBahadir01,b'@Sufihane Amin',Turkey,1306695286505472000
seminyildiz,b'RT @ztomhomeshop: Excited to share this item from my #etsy shop: Half sunflower half butterfly  Watercolor png- butterfly sublimation desig?',Turkey,1306694915452276740
seminyildiz,"b'RT @ztomhomeshop: Excited to share this item from my #etsy shop: Black Girl Magic with Butterflies, Black Woman PNG, Black Woman Afro Hairs?'",Turkey,1306694900222758915
danrovalto,"b""@giannisdos @PGrigorakis @edipgenc @cynaegeirus Now that you know these, you know you're arming islands that you shouldn't have.""",Turkey,1306694734275112960
danrovalto,b'@jeanval85337040 @Boollews @cynaegeirus I apologize for breaking the dream that you will have the best air force in? https://t.co/32feYxWV0H',Turkey,1306694233244479490
UmutDisel,b'@NarjustDumaMD @chadinabhan @PGrivasMDPhD @DrChoueiri @hemoncwarner @DrPaplomata Its originally from Turkey. Baklav? https://t.co/A5DWK6Xl6U',Turkey,1306694204182196224
seminyildiz,"b'RT @ztomhomeshop: Excited to share this item from my #etsy shop: Halloween ghost Sublimation download, boo pumpkin bat, bootiful gnome, Sub?'",Turkey,1306693474738200578
danrovalto,b'@Vayosp @jeanval85337040 @Boollews @cynaegeirus Greeks are the only nation in the world who believe in rumors. Offi? https://t.co/n3PJP8zqCc',Turkey,1306693070159740928
