user,text,country,id
Cervos01,"b'@mhuyn27356812S Sure, but would you send me link to your repost? ?'",Ukraine,1306712692275765255
Snotty_ebooks,b'allright lets grind on this site once again',Ukraine,1306707978616295425
Snotty_ebooks,b'i have a reason i dont use twatter as much as i should is just cause i feel like if i tweet anything remote...',Ukraine,1306707725070610432
Snotty_ebooks,"b""harambe is still somewhat relevant (since it happened yesterday), so i'd like to fuck but no french letter""",Ukraine,1306700166641090562
uncleLem,b'@masinto All of above',Ukraine,1306698769661079558
Antikaratel,b'@200_zoka Speaking of Daraa reminded me how a Russian Youtube traveler ended up there while going to Jordan not kno? https://t.co/1BdJZVhQu2',Ukraine,1306695439316652032
Snotty_ebooks,"b'cause now a wastleand, might as edgar helly!!!!!!!!!!!!11'",Ukraine,1306695127394643969
Kir_the_Wizard,"b'@SKozakMedia &gt;""I used to believe in 100 genders, but now I don\'t""\n&gt;""Thank you for opening my eyes, Ben Shapiro!""\nCringed hard at that, ngl'",Ukraine,1306691837814603779
Kir_the_Wizard,b'&gt;like button vibrates on touch\n&gt;check phone settings\n&gt;vibration off\nWhat\nI hate this damn computer shamanism...',Ukraine,1306691378915749888
Kir_the_Wizard,b'@SKozakMedia That thread is hilarious and sad.',Ukraine,1306691057476870160
Kir_the_Wizard,"b""@lituainianach We've reached a moment in history, where instead of the US being BLAMED for the scary colour revolut? https://t.co/n7TLNj58vR""",Ukraine,1306680414476664839
Snotty_ebooks,"b""youll never guess whom this is the real culprit was the city's power""",Ukraine,1306677993276932096
Kir_the_Wizard,b'@killed_the_vibe I have memories of playing SOME CONSOLE with very very old games from B and C. Some racing and som? https://t.co/TJJVQGaB4L',Ukraine,1306675357362380801
Danllanso10,b'RT @FCShakhtar_eng: ? Transfer news: Danylo Sikan will spend the next season on loan at Mariupol.\n\nWe wish him good luck! https://t.co/48L0?',Ukraine,1306673831902359552
Snotty_ebooks,"b""meh i'm getting together with some friends from school...""",Ukraine,1306671189537050626
alexmazuka,"b'Federal officials stockpiled munitions, sought ?heat ray? device before clearing Lafayette Square, whistleblower sa? https://t.co/5bnhLWvolV'",Ukraine,1306660911407673346
Kir_the_Wizard,b'Current mood:\nhttps://t.co/yGTdfGCpE5',Ukraine,1306656987913097216
Kir_the_Wizard,"b'Yeah... Prevent war in Ukraine... A little bit to late for that, Luka. https://t.co/qE1qkFpwaF'",Ukraine,1306656863438745601
LottaFaChina,"b""RT @Antikaratel: @Breaking911 All dead Biden voters can't vote in person from their graves, it makes sense to give them more time""",Ukraine,1306648644657926145
Antikaratel,b'@TheBabylonBee USA needs a young and strong president like Joe Biden to defeat COVID virus and racism.',Ukraine,1306647384584261632
lockjoshua,"b""RT @Antikaratel: @Breaking911 All dead Biden voters can't vote in person from their graves, it makes sense to give them more time""",Ukraine,1306647181764558850
MM35828329,"b""RT @Antikaratel: @Breaking911 All dead Biden voters can't vote in person from their graves, it makes sense to give them more time""",Ukraine,1306646140398440450
DonTrumpeone,"b""RT @Antikaratel: @Breaking911 All dead Biden voters can't vote in person from their graves, it makes sense to give them more time""",Ukraine,1306645547831435265
Antikaratel,"b""@Breaking911 All dead Biden voters can't vote in person from their graves, it makes sense to give them more time""",Ukraine,1306645193962270720
Antikaratel,b'@Cernovich What if Putin is gonna blackmail Joe Biden with kompromat GRU received from Ukraine about Joe and his so? https://t.co/IXOaQym40f',Ukraine,1306640741159010304
Snotty_ebooks,b'fuck if i remember correctly',Ukraine,1306634912888492034
59tvlBLsNWRFqK2,b'RT @FCShakhtar_eng: ? Marcos Antonio has been nominated for the Golden Boy 2020 award! ?\n\n? Support the midfielder by voting at https://t.c?',Ukraine,1306634469508612097
59tvlBLsNWRFqK2,b'RT @FCShakhtar_eng: ? Transfer news: Danylo Sikan will spend the next season on loan at Mariupol.\n\nWe wish him good luck! https://t.co/48L0?',Ukraine,1306634458246901764
59tvlBLsNWRFqK2,b'RT @FCShakhtar_eng: ? Video of 128 goals netted by Luiz Adriano for #Shakhtar is available on Shakhtar Club! ?\n\nWatch Part 1 featuring the?',Ukraine,1306634094856605697
59tvlBLsNWRFqK2,b'RT @FCShakhtar_eng: ? It?s ime to put on some warm clothes! ? Sweatshirts and hoodies are on sale at the Shakhtar online shop! ?\n\n? Pick yo?',Ukraine,1306633663145279490
FCShakhtar_eng,b'? Marcos Antonio has been nominated for the Golden Boy 2020 award! ?\n\n? Support the midfielder by voting at? https://t.co/l7qTRVEz8r',Ukraine,1306633285255266304
ImpulsiveMasha,"b'RT @Antikaratel: @27khv Tea at the airport, bottle at the airport, underwear, now bottle in his hotel room. You got to love the consistency.'",Ukraine,1306632055975968768
credo007,b'@HaydenPaddon @HyundaiNZ waiting for your return to the rally! You are a cool racer',Ukraine,1306631172546588672
Snotty_ebooks,b'does the nostalgia critic even doin it cause i even do',Ukraine,1306624837851414529
Kir_the_Wizard,"b'@SamuelLJackson @faircount @Fairfight ""Pishov ty"" in Ukrainian?? is an interesting one. Literally translating it me? https://t.co/NxBQRhW18t'",Ukraine,1306621309460328449
MartnChab3,b'RT @FCShakhtar_eng: ? Transfer news: Danylo Sikan will spend the next season on loan at Mariupol.\n\nWe wish him good luck! https://t.co/48L0?',Ukraine,1306611983203160066
MartnChab3,"b'RT @FCShakhtar_eng: ?? ""Zorya are a strong team""\n\nMykola Matviienko spoke on Shakhtar News about the focus of preparation for the Premier L?'",Ukraine,1306611776004460552
