user,text,country,id
vomitbave,b'BOYFRIEND GETTING THE MAID DRESS OH MY GOD POG',Uruguay,1306723145185976323
possumflakes,b'RT @vomitbave: fem jreg do be looking? https://t.co/6jaGAt8buO',Uruguay,1306722284225179648
vomitbave,b'@SadieIsInPain @jrivorce @LEDSKULLFUCK @JrutrobogIsALie please?',Uruguay,1306721271447683072
meferreyra,b'@marielferreyra Donde?',Uruguay,1306720735814180864
Julian__ok97,b'Gooooool Borre!',Uruguay,1306719380886167553
vomitbave,b'@jrivorce @LEDSKULLFUCK @JrutrobogIsALie @SadieIsInPain love that',Uruguay,1306719284136226816
vomitbave,b'@s0ft_0wl god no please',Uruguay,1306719089608491014
lsmacchi,b'as vain as i allow',Uruguay,1306719081568112641
Martin_Silva_8,b'Cheeee racinggg',Uruguay,1306717498654457856
Danieltunnard,"b""If you could bottle Josefina's anger when she's doing DIY, you'd have a very angry bottle.""",Uruguay,1306714296076980224
TatiRC8,b'@hxbitcap Mood',Uruguay,1306714006028275712
JoackoSommer_5,b'@czurraa horriblee',Uruguay,1306713839531065344
RocioQ22,b'@_rotoymalparado Messirve',Uruguay,1306710303325986816
manuperez1999m,b'@imzoriana Yes I have.  My account is manuelperez1999m',Uruguay,1306707885141958656
DamianV6661,b'Nothing is going to be ok.',Uruguay,1306707649501843460
vomitbave,b'@EvelynAgender AMEN!! ????',Uruguay,1306706827019681792
vomitbave,b'@lime_muffin chip yes',Uruguay,1306706732777984002
vomitbave,b'@lime_muffin dont mind me just contributing to the ratio',Uruguay,1306704517334028289
hunnilemonade,b'RT @vomitbave: fem jreg do be looking? https://t.co/6jaGAt8buO',Uruguay,1306703323815448576
FioreNeron,b'Say my nameeee say my name',Uruguay,1306703011536928768
fr0ggieee,b'RT @vomitbave: fem jreg do be looking? https://t.co/6jaGAt8buO',Uruguay,1306702762902773760
Rodripica_14,b'Goooool che',Uruguay,1306702636700364801
Esteban_bolsoo,b'Seeguro capi 9????',Uruguay,1306702601136885760
valentinita_4,b'Same https://t.co/3xtS0cQrKr',Uruguay,1306702500569976834
renzoo1899,b'GOOOLL BERGEDIOS',Uruguay,1306702497487237124
Giles_miki08,b'Goollllll',Uruguay,1306702271003140096
RyudoTenjin,"b""@echo_seren @The_Sopralto Same here. I don't want that kind of person around here""",Uruguay,1306701949815881728
jitterbun,b'RT @vomitbave: fem jreg do be looking? https://t.co/6jaGAt8buO',Uruguay,1306701568197234690
vomitbave,b'fem jreg do be looking? https://t.co/6jaGAt8buO',Uruguay,1306701402610249733
RyudoTenjin,"b'Regardless, I would always be giving my full support in any way I can... Recommending your channels, commenting, gi? https://t.co/78MYktr6lc'",Uruguay,1306701374944673792
RyudoTenjin,"b""Argentina's monetary situation went straight to hell. We can barely use dollars now, and they put us a 200 usd limi? https://t.co/O6Dg4DH4gu""",Uruguay,1306700681697546251
RyudoTenjin,"b""@takanashikiara Oww your superchats got enabled just when Argentina's economy situation went literally to hell. Can? https://t.co/fD16Bdu63N""",Uruguay,1306699840294969355
TheToppingGamer,b'RT @Imnfractus: #RobloxDev #Roblox\nSome models that I made for Dracos Ez Studio projects. 3 https://t.co/fYQCVIaaKH',Uruguay,1306698461128142850
