user,text,country,id
connjam,b'@bluemonkey1878 Moored isn?t loaded or unloaded to or from lorries or trains or being  repaired. Moored is stored not docked.',Vietnam,1306726303681458176
HarperSaid,b'@christopherjmi @GAFollowers Not proud it?s FUNNY. Get a SENSE of Humor ? stay out of black people?a business.. that?s y?all problem now',Vietnam,1306726223297605633
slightlymean1,b'@JadedSwine @maryfblackwell2 @TOffroader Not getting the joke inside not getting the joke. This is art.',Vietnam,1306726081832136711
Papa_Ofori007,"b'@GHOneTV @Serwaa_Amihere How we\'ve given a voice to these lawless guys annoys me to the core all cos of one ""vision? https://t.co/4FvIcFPIcO'",Vietnam,1306726031383040001
HarperSaid,b'@christopherjmi @GAFollowers Not proud it?s FUNNY. Get a SENSE of Humor ?',Vietnam,1306726029877280768
Twiddlediddley,b'@SleeAshley That would be great Ashley..\n???',Vietnam,1306725986969493504
jaspergregory,b'It only took her three months to declare rioting bad https://t.co/t1llYTByuV',Vietnam,1306725922179960833
Twiddlediddley,"b""What we need in Australian Education. \nWe also should've been taught &amp; our schools should be teaching about the? https://t.co/S58SCb14aq""",Vietnam,1306725826445049856
slightlymean1,"b'@40CalWisdom @TOffroader Tighter shot would fuck up the joke, though.'",Vietnam,1306725708828413952
Pat_P_B,b'Middle-East Politics: Trump?s Diplomacy Works | National Review https://t.co/VezvbTYgOx',Vietnam,1306725639148404746
CCRELLOO,b'I put it all onna line ..',Vietnam,1306725634870333452
FeeRedfern,b'RT @Twiddlediddley: Am searching for a copy of our #AustralianConstitution in our National Library.\nThe original version is unavailable?? h?',Vietnam,1306725451444879360
slightlymean1,b'@mookiesnicholas @MomBod_SpecialK @TOffroader It wouldn?t be a good joke if it was filtered!',Vietnam,1306725148997885952
AmberGoth,"b""RT @AmberGoth: @GhostVes #Trump hasn't got the brains to be Big Brother; neither has #Johnson. I see someone like #Cummings eventually comi?""",Vietnam,1306725042693320709
GloryBS,b'RT @AmberGoth: @mellors_karen @DiaDiGiovanni @celtjules66 @MettlesomeTeri @redmatt14 @k4_owen @irisstylosa @JulieMorrigan @elishaleann87 @J?',Vietnam,1306725037387534336
jaspergregory,b'The official logo of woke capitalism https://t.co/4saVmNuxKS',Vietnam,1306724838506033152
rodinrodin7,b'RT @jaspergregory: Chaz is the gift that keeps on giving https://t.co/u31mMIQJHe',Vietnam,1306724826988584962
AmberGoth,"b""@GhostVes #Trump hasn't got the brains to be Big Brother; neither has #Johnson. I see someone like #Cummings eventu? https://t.co/yh32CCtClL""",Vietnam,1306724824404852737
Twiddlediddley,b'Am searching for a copy of our #AustralianConstitution in our National Library.\nThe original version is unavailable? https://t.co/1oirSbPFaj',Vietnam,1306724793589346305
